number,interior_page,batch,subject,expected_filename,fact
1,9,B031,Calf,01_calf.png,A calf is a young cow.
2,11,B031,Foal,02_foal.png,A foal is a young horse.
3,13,B031,Piglet,03_piglet.png,A piglet is a young pig.
4,15,B031,Lamb,04_lamb.png,A lamb is a young sheep.
5,17,B031,Kid,05_kid.png,A kid is a young goat.
6,19,B031,Chick,06_chick.png,A chick is a young chicken.
7,21,B031,Duckling,07_duckling.png,A duckling is a young duck.
8,23,B031,Gosling,08_gosling.png,A gosling is a young goose.
9,25,B031,Bunny,09_bunny.png,A baby rabbit is often called a bunny or kit.
10,27,B031,Kitten,10_kitten.png,A kitten is a young cat.
11,29,B031,Puppy,11_puppy.png,A puppy is a young dog.
12,31,B031,Fawn,12_fawn.png,A fawn is a young deer.
13,33,B031,Cub Lion,13_cub_lion.png,Lion cubs are born with spotted coats that fade as they grow.
14,35,B031,Cub Tiger,14_cub_tiger.png,Tiger cubs stay with their mother while they learn to hunt.
15,37,B031,Cub Bear,15_cub_bear.png,Bear cubs are born very small compared with adult bears.
16,39,B031,Elephant Calf,16_elephant_calf.png,Elephant calves use their trunks more skillfully as they grow.
17,41,B031,Giraffe Calf,17_giraffe_calf.png,Giraffe calves can stand and walk soon after birth.
18,43,B031,Zebra Foal,18_zebra_foal.png,Zebra foals can recognize their mothers by stripe patterns and scent.
19,45,B031,Rhino Calf,19_rhino_calf.png,Rhino calves stay close to their mothers for protection.
20,47,B031,Hippo Calf,20_hippo_calf.png,Hippo calves can nurse underwater.
21,49,B031,Kangaroo Joey,21_kangaroo_joey.png,A baby kangaroo is called a joey.
22,51,B031,Koala Joey,22_koala_joey.png,Koala joeys spend months developing inside their mother's pouch.
23,53,B031,Wallaby Joey,23_wallaby_joey.png,Wallaby joeys also grow in a pouch.
24,55,B031,Wombat Joey,24_wombat_joey.png,Wombat joeys live in a backward-facing pouch.
25,57,B031,Penguin Chick,25_penguin_chick.png,Penguin chicks are covered in soft down feathers.
26,59,B031,Owl Chick,26_owl_chick.png,Baby owls are called owlets.
27,61,B031,Eaglet,27_eaglet.png,A young eagle is called an eaglet.
28,63,B031,Flamingo Chick,28_flamingo_chick.png,Flamingo chicks are born with gray or white down.
29,65,B031,Puffin Chick,29_puffin_chick.png,A baby puffin is called a puffling.
30,67,B031,Seal Pup,30_seal_pup.png,Young seals are called pups.
31,69,B032,Sea Lion Pup,31_sea_lion_pup.png,Sea lion pups can recognize their mothers by calls.
32,71,B032,Dolphin Calf,32_dolphin_calf.png,Dolphin calves swim beside their mothers from birth.
33,73,B032,Whale Calf,33_whale_calf.png,Whale calves drink rich milk from their mothers.
34,75,B032,Orca Calf,34_orca_calf.png,Orca calves stay with family groups called pods.
35,77,B032,Shark Pup,35_shark_pup.png,Many young sharks are called pups.
36,79,B032,Sea Turtle Hatchling,36_sea_turtle_hatchling.png,Sea turtle hatchlings crawl toward the ocean after leaving the nest.
37,81,B032,Crocodile Hatchling,37_crocodile_hatchling.png,Crocodile mothers may help hatchlings reach the water.
38,83,B032,Alligator Hatchling,38_alligator_hatchling.png,Young alligators often stay near their mother.
39,85,B032,Snake Hatchling,39_snake_hatchling.png,Some baby snakes hatch from eggs ready to move on their own.
40,87,B032,Lizard Hatchling,40_lizard_hatchling.png,Many young lizards look like tiny versions of adults.
41,89,B032,Froglet,41_froglet.png,A froglet is a young frog that has recently grown legs.
42,91,B032,Tadpole,42_tadpole.png,Tadpoles are the aquatic young of frogs and toads.
43,93,B032,Axolotl Juvenile,43_axolotl_juvenile.png,Young axolotls keep feathery external gills.
44,95,B032,Monkey Infant,44_monkey_infant.png,Baby monkeys cling to their mothers for safety.
45,97,B032,Gorilla Infant,45_gorilla_infant.png,Gorilla infants ride on their mothers as they grow.
46,99,B032,Chimpanzee Infant,46_chimpanzee_infant.png,Young chimpanzees learn by watching older group members.
47,101,B032,Orangutan Infant,47_orangutan_infant.png,Orangutan young stay with their mothers for many years.
48,103,B032,Meerkat Pup,48_meerkat_pup.png,Baby meerkats are called pups.
49,105,B032,Otter Pup,49_otter_pup.png,Otter pups learn to swim as they grow.
50,107,B032,Fox Kit,50_fox_kit.png,A young fox is called a kit or cub.
51,109,B032,Wolf Pup,51_wolf_pup.png,Wolf pups are raised by members of the pack.
52,111,B032,Coyote Pup,52_coyote_pup.png,Coyote pups are born in sheltered dens.
53,113,B032,Raccoon Kit,53_raccoon_kit.png,Young raccoons often stay with their mother for many months.
54,115,B032,Hedgehog Hoglet,54_hedgehog_hoglet.png,A baby hedgehog is called a hoglet.
55,117,B032,Squirrel Kit,55_squirrel_kit.png,Baby squirrels are born hairless and helpless.
56,119,B032,Bat Pup,56_bat_pup.png,A baby bat is called a pup.
57,121,B032,Porcupette,57_porcupette.png,A baby porcupine is called a porcupette.
58,123,B032,Llama Cria,58_llama_cria.png,A baby llama is called a cria.
59,125,B032,Alpaca Cria,59_alpaca_cria.png,A baby alpaca is also called a cria.
60,127,B032,Camel Calf,60_camel_calf.png,Camel calves can stand and walk not long after birth.
