number,interior_page,animal,fact
1,9,Golden Retriever,Golden retrievers were bred to gently carry game in their soft mouths.
2,11,Labrador Retriever,Labradors are strong swimmers and have water-resistant coats.
3,13,Beagle,Beagles have an excellent sense of smell and were bred to follow scent trails.
4,15,Poodle,"Poodles are highly intelligent dogs and come in standard, miniature, and toy sizes."
5,17,Dachshund,Dachshunds have long bodies and short legs that were useful for going into burrows.
6,19,French Bulldog,French bulldogs are known for their large upright ears and compact bodies.
7,21,German Shepherd,German shepherds are smart working dogs often trained for many different jobs.
8,23,Border Collie,Border collies are famous for their herding ability and quick learning.
9,25,Shih Tzu,Shih tzus were bred as companion dogs and have long flowing coats.
10,27,Pug,Pugs have curled tails and wrinkled faces.
11,29,Chihuahua,Chihuahuas are one of the smallest dog breeds in the world.
12,31,Pembroke Welsh Corgi,Corgis were bred to herd cattle and have short legs with sturdy bodies.
13,33,Siberian Husky,Huskies were bred to pull sleds across snowy landscapes.
14,35,Boxer,Boxers are energetic dogs with strong square-shaped muzzles.
15,37,Maltese,Maltese dogs are small companions known for their long white coats.
16,39,Tabby Cat,"Tabby is a coat pattern, not a single cat breed."
17,41,Siamese Cat,"Siamese cats often have pale bodies with darker ears, faces, paws, and tails."
18,43,Maine Coon,Maine coons are large cats with thick coats and bushy tails.
19,45,Persian Cat,Persian cats are known for long fur and round faces.
20,47,Ragdoll Cat,Ragdolls are large gentle cats with soft coats and blue eyes.
21,49,Bengal Cat,Bengal cats have spotted or marbled coats that can look a little like wild cats.
22,51,Sphynx Cat,Sphynx cats have very little fur and need help staying warm.
23,53,British Shorthair,British shorthairs have dense plush coats and round faces.
24,55,Scottish Fold,Scottish folds are known for ears that can fold forward.
25,57,Tuxedo Cat,Tuxedo cats have black-and-white markings that look like a tiny suit.
26,59,Rabbit,Pet rabbits use their powerful back legs for hopping and jumping.
27,61,Holland Lop Rabbit,Holland lops are small rabbits with ears that hang down.
28,63,Guinea Pig,"Guinea pigs communicate with squeaks, purrs, and whistles."
29,65,Syrian Hamster,Syrian hamsters are usually solitary and are active mostly at night.
30,67,Gerbil,Gerbils are social burrowing rodents with long tails.
31,69,Chinchilla,Chinchillas have extremely dense fur that helps protect them in cool mountain climates.
32,71,Ferret,Ferrets are playful members of the weasel family.
33,73,Fancy Rat,"Pet rats are intelligent, social animals that can learn simple tricks."
34,75,Fancy Mouse,Pet mice use whiskers to help explore their surroundings.
35,77,African Pygmy Hedgehog,Pet hedgehogs can curl into a ball and raise their spines when startled.
36,79,Budgerigar,Budgies are small parrots that can learn sounds and simple words.
37,81,Cockatiel,Cockatiels use the crest on top of their heads to help show how they feel.
38,83,Lovebird,Lovebirds are small parrots that are very social.
39,85,Canary,Male canaries are well known for their songs.
40,87,Zebra Finch,Zebra finches are small social birds with cheerful chirping calls.
41,89,Parrotlet,Parrotlets are tiny parrots with big personalities.
42,91,African Grey Parrot,African grey parrots are famous for their ability to imitate sounds and speech.
43,93,Green-Cheeked Conure,Green-cheeked conures are playful small parrots with long tails.
44,95,Goldfish,Goldfish can learn routines and recognize when it is feeding time.
45,97,Betta Fish,Male betta fish are known for colorful fins and can breathe air at the water's surface.
46,99,Guppy,Guppies are small colorful fish that give birth to live young.
47,101,Neon Tetra,Neon tetras have a bright blue stripe that seems to glow in an aquarium.
48,103,Freshwater Angelfish,Freshwater angelfish have tall triangular bodies and long fins.
49,105,Corydoras Catfish,Corydoras are peaceful bottom-dwelling fish that use whisker-like barbels to find food.
50,107,Platy,Platies are small live-bearing fish that come in many colors.
51,109,Leopard Gecko,Leopard geckos store fat in their thick tails.
52,111,Crested Gecko,Crested geckos have tiny eyelash-like crests above their eyes.
53,113,Bearded Dragon,Bearded dragons can puff out the spiny skin under their throats.
54,115,Corn Snake,Corn snakes are nonvenomous snakes that squeeze prey with their bodies.
55,117,Ball Python,Ball pythons may curl into a tight ball when they feel threatened.
56,119,Red-Eared Slider,Red-eared sliders are turtles named for the red markings behind their eyes.
57,121,Russian Tortoise,Russian tortoises are land reptiles that like to dig burrows.
58,123,Hermit Crab,Hermit crabs protect their soft abdomens by living inside empty shells.
59,125,Axolotl,Axolotls keep feathery external gills throughout their lives.
60,127,African Dwarf Frog,African dwarf frogs live fully underwater and must swim to the surface to breathe.
