number,interior_page,animal,fact
1,9,Barn Owl,Barn owls can hunt in darkness by using extremely sensitive hearing.
2,11,Great Horned Owl,Great horned owls have feather tufts that look like ears but are not their actual ears.
3,13,Eastern Screech-Owl,Eastern screech-owls can hide well against tree bark because of their mottled feathers.
4,15,Burrowing Owl,Burrowing owls often live in underground burrows and may be active around dusk.
5,17,Tawny Owl,Tawny owls are woodland hunters with excellent night vision and hearing.
6,19,Snowy Owl,Snowy owls may hunt during daylight in Arctic summers where the sun stays up for long periods.
7,21,Long-Eared Owl,Long-eared owls have tall feather tufts and often rest quietly in dense trees during the day.
8,23,Short-Eared Owl,Short-eared owls often hunt low over open fields at dawn and dusk.
9,25,Little Owl,Little owls are small owls that may perch on posts while watching for prey.
10,27,Nightjar,Nightjars have wide mouths that help them catch flying insects.
11,29,Nighthawk,Nighthawks catch insects while flying and are most active around evening.
12,31,Kakapo,Kakapos are flightless parrots from New Zealand that are active mostly at night.
13,33,Kiwi,Kiwis use long beaks and sensitive nostrils to search for food on the forest floor.
14,35,Tarsier,Tarsiers have enormous eyes that help them see in low light.
15,37,Aye-Aye,Aye-ayes use a long middle finger to find insects hidden inside wood.
16,39,Slow Loris,Slow lorises are small primates with large eyes adapted for nighttime activity.
17,41,Bushbaby,Bushbabies can make powerful leaps between branches at night.
18,43,Mouse Lemur,Mouse lemurs are tiny nocturnal primates from Madagascar.
19,45,Raccoon,Raccoons use sensitive front paws to explore food and objects.
20,47,Opossum,Opossums are the only marsupials native to the United States and Canada.
21,49,Skunk,Skunks can spray a strong-smelling liquid when they feel threatened.
22,51,Badger,Badgers are strong diggers that often rest in underground burrows.
23,53,Hedgehog,Hedgehogs can curl into a tight ball to protect themselves with their spines.
24,55,Porcupine,Porcupines are covered with modified hairs called quills.
25,57,Armadillo,Many armadillos search for insects at night using a strong sense of smell.
26,59,Fennec Fox,Fennec foxes have huge ears that help them hear prey and release body heat.
27,61,Red Fox,Red foxes use their large ears to locate small animals hidden in grass or snow.
28,63,Gray Fox,Gray foxes are unusual canids because they can climb trees.
29,65,Coyote,"Coyotes communicate with yips, barks, and howls."
30,67,Bobcat,"Bobcats are stealthy cats that often hunt around dawn, dusk, and nighttime."
31,69,Leopard,Leopards are powerful climbers and often rest or store food in trees.
32,71,Clouded Leopard,Clouded leopards have long tails that help them balance while climbing.
33,73,Black-Footed Cat,Black-footed cats are small African wild cats that hunt mostly at night.
34,75,Pallas's Cat,Pallas's cats have thick fur and rounded ears that help them blend into rocky habitats.
35,77,Binturong,Binturongs use long prehensile tails to help grip branches.
36,79,Civet,Many civets are nocturnal mammals that forage for fruit and small animals.
37,81,Genet,Genets are agile nighttime hunters with long spotted bodies and ringed tails.
38,83,Kinkajou,Kinkajous use long tongues to reach fruit and nectar.
39,85,Sugar Glider,Sugar gliders can glide between trees using skin stretched between their legs.
40,87,Flying Squirrel,Flying squirrels glide from tree to tree using a membrane of skin between their limbs.
41,89,Vampire Bat,Vampire bats can detect warm spots on the skin of their prey.
42,91,Fruit Bat,Many fruit bats use their keen senses to find ripe fruit at night.
43,93,Little Brown Bat,Little brown bats use echolocation to catch insects in darkness.
44,95,Greater Horseshoe Bat,Horseshoe bats use a leaf-like nose structure to help focus echolocation calls.
45,97,Flying Fox,Flying foxes are large fruit bats with faces that resemble small foxes.
46,99,Moth,Many moths are active at night and use feathery antennae or scent to find mates.
47,101,Firefly,Fireflies make light with a chemical reaction called bioluminescence.
48,103,Scorpion,Scorpions glow under ultraviolet light because of chemicals in their outer covering.
49,105,Tarantula,Many tarantulas wait near burrows at night to catch insects and other small prey.
50,107,Orb-Weaver Spider,Many orb-weaver spiders build new circular webs during evening or nighttime.
51,109,Praying Mantis,Some praying mantises hunt insects at night near lights.
52,111,Katydid,Katydids often call after dark by rubbing parts of their wings together.
53,113,Cricket,Male crickets chirp by rubbing their wings together.
54,115,Gecko,Many geckos are active at night and can climb smooth surfaces with specialized toe pads.
55,117,Tokay Gecko,Tokay geckos are large nocturnal geckos known for their loud calls.
56,119,Leopard Gecko,Leopard geckos have movable eyelids and store fat in their tails.
57,121,Ball Python,Ball pythons are most active at night and may curl into a ball when frightened.
58,123,Boa Constrictor,Boa constrictors use heat-sensitive pits to help detect warm animals.
59,125,Axolotl,Axolotls are aquatic salamanders that keep their feathery external gills as adults.
60,127,Cane Toad,Cane toads often become active after sunset when temperatures are cooler.
