number,interior_page,animal,fact
1,9,Jaguar,Jaguars have powerful jaws and often live near rivers in tropical forests.
2,11,Ocelot,Ocelots are spotted wild cats that are active mostly at night.
3,13,Margay,Margays can rotate their ankles to climb down tree trunks headfirst.
4,15,Harpy Eagle,Harpy eagles have huge talons and hunt high in rainforest canopies.
5,17,Toucan,Toucans use their large colorful bills to reach fruit on branches.
6,19,Scarlet Macaw,Scarlet macaws use strong curved beaks to crack nuts and seeds.
7,21,Howler Monkey,Howler monkeys make very loud calls that can travel through the forest.
8,23,Spider Monkey,Spider monkeys use long arms and tails to swing between branches.
9,25,Capuchin Monkey,Capuchin monkeys are clever and use their hands to explore food and objects.
10,27,Sloth,Sloths move slowly and spend much of their lives hanging in trees.
11,29,Giant Anteater,Giant anteaters use long sticky tongues to eat ants and termites.
12,31,Tapir,Tapirs have short flexible snouts that help them grab leaves and fruit.
13,33,Capybara,Capybaras are the largest living rodents and are excellent swimmers.
14,35,Coati,Coatis use long noses to sniff for insects, fruit, and other food.
15,37,Kinkajou,Kinkajous have prehensile tails that help them grip branches.
16,39,Agouti,Agoutis bury seeds and can help new rainforest plants grow.
17,41,Peccary,Peccaries are pig-like mammals that often travel in groups.
18,43,Giant Otter,Giant otters live in South American rivers and hunt together in family groups.
19,45,Green Anaconda,Green anacondas are heavy snakes that spend lots of time in and near water.
20,47,Boa Constrictor,Boa constrictors squeeze prey with their strong muscular bodies.
21,49,Emerald Tree Boa,Emerald tree boas coil around branches while resting in trees.
22,51,Green Iguana,Green iguanas are strong climbers and mostly eat leaves and fruit.
23,53,Basilisk Lizard,Basilisk lizards can run across the surface of water for short distances.
24,55,Caiman,Caimans are crocodilian reptiles that live in rivers, lakes, and wetlands.
25,57,Poison Dart Frog,Many poison dart frogs have bright colors that warn predators to stay away.
26,59,Red-Eyed Tree Frog,Red-eyed tree frogs have sticky toe pads that help them climb leaves.
27,61,Glass Frog,Some glass frogs have partly transparent skin on their undersides.
28,63,Golden Poison Frog,Golden poison frogs are tiny rainforest frogs with very bright warning colors.
29,65,Leafcutter Ant,Leafcutter ants carry leaf pieces to underground gardens where they grow fungus for food.
30,67,Army Ant,Army ants travel in large groups while searching the forest floor for food.
31,69,Blue Morpho Butterfly,Blue morpho butterflies flash bright blue when their wings catch the light.
32,71,Owl Butterfly,Owl butterflies have large eye-like spots on their wings.
33,73,Atlas Moth,Atlas moths are among the largest moths in the world by wing area.
34,75,Orchid Mantis,Orchid mantises use flower-like shapes and colors to blend into plants.
35,77,Goliath Beetle,Goliath beetles are among the heaviest insects in the world.
36,79,Rhinoceros Beetle,Male rhinoceros beetles have horn-like structures used in contests with other males.
37,81,Walking Stick,Walking sticks resemble twigs, helping them hide from predators.
38,83,Leaf Insect,Leaf insects have bodies shaped and colored like leaves.
39,85,Tarantula,Tarantulas are large spiders that use venom to subdue small prey.
40,87,Golden Silk Orb-Weaver,Golden silk orb-weavers spin strong webs with silk that can look golden in sunlight.
41,89,Toucanet,Toucanets are smaller relatives of toucans with bright bills and feathers.
42,91,Hoatzin,Young hoatzins have small claws on their wings that can help them climb.
43,93,Hornbill,Hornbills often have large curved bills and many species nest in tree cavities.
44,95,King Vulture,King vultures help clean forests by eating dead animals.
45,97,Quetzal,Resplendent quetzals eat fruit and help spread seeds through cloud forests.
46,99,Cassowary,Cassowaries are large flightless birds that help spread rainforest seeds.
47,101,Bird-of-Paradise,Many birds-of-paradise have colorful feathers used in courtship displays.
48,103,Sun Bear,Sun bears use long tongues to reach honey and insects.
49,105,Binturong,Binturongs are tree-dwelling mammals with tails that can grip branches.
50,107,Malayan Tapir,Malayan tapirs have bold black-and-white coloring as adults.
51,109,Orangutan,Orangutans build leafy sleeping nests high in trees.
52,111,Proboscis Monkey,Male proboscis monkeys are known for their large noses.
53,113,Gibbon,Gibbons swing through trees using very long arms.
54,115,Clouded Leopard,Clouded leopards have large canine teeth and are excellent climbers.
55,117,Sumatran Tiger,Sumatran tigers are the smallest living tiger subspecies.
56,119,Asian Elephant,Asian elephants use their trunks to breathe, smell, drink, and grasp objects.
57,121,Pygmy Hippo,Pygmy hippos are smaller than common hippos and live near West African forests.
58,123,Okapi,Okapis have striped legs and are close relatives of giraffes.
59,125,Western Lowland Gorilla,Western lowland gorillas eat fruit, leaves, stems, and other plants.
60,127,Mandrill,Mandrills are large monkeys with colorful faces and strong canine teeth.
