number,interior_page,animal,fact
1,9,Red Kangaroo,Red kangaroos are the largest living marsupials.
2,11,Eastern Grey Kangaroo,Eastern grey kangaroos often gather in groups called mobs.
3,13,Western Grey Kangaroo,Western grey kangaroos are native to southern Australia.
4,15,Wallaroo,Wallaroos are medium-sized relatives of kangaroos and wallabies.
5,17,Swamp Wallaby,Swamp wallabies browse many kinds of plants.
6,19,Quokka,Quokkas are small wallabies found mainly in Western Australia.
7,21,Koala,Koalas eat mostly eucalyptus leaves.
8,23,Common Wombat,Common wombats dig large burrow systems.
9,25,Southern Hairy-Nosed Wombat,Hairy-nosed wombats have soft fur around the nose.
10,27,Tasmanian Devil,Tasmanian devils are the largest living carnivorous marsupials.
11,29,Numbat,Numbats mainly eat termites.
12,31,Bilby,Bilbies have long ears and dig deep burrows.
13,33,Bandicoot,Bandicoots use pointed snouts to search for food.
14,35,Sugar Glider,Sugar gliders can glide between trees using skin flaps.
15,37,Greater Glider,Greater gliders are large gliding possums.
16,39,Brushtail Possum,Brushtail possums are active mostly at night.
17,41,Ringtail Possum,Ringtail possums use prehensile tails to grip branches.
18,43,Spotted-Tail Quoll,Quolls are carnivorous marsupials.
19,45,Dingo,Dingoes are wild dogs found across much of Australia.
20,47,Platypus,Platypuses are mammals that lay eggs.
21,49,Short-Beaked Echidna,Echidnas are egg-laying mammals covered in spines.
22,51,Emu,Emus are large flightless birds.
23,53,Southern Cassowary,Cassowaries help spread rainforest seeds.
24,55,Laughing Kookaburra,Kookaburras are famous for loud laughing calls.
25,57,Sulphur-Crested Cockatoo,These cockatoos have a bright movable crest.
26,59,Galah,Galahs are pink-and-gray cockatoos.
27,61,Rainbow Lorikeet,Rainbow lorikeets feed on nectar and pollen.
28,63,Budgerigar,Wild budgies often gather in large flocks.
29,65,Superb Fairywren,Male superb fairywrens can develop bright blue breeding plumage.
30,67,Australian Magpie,Australian magpies are known for complex songs.
31,69,Tawny Frogmouth,Tawny frogmouths camouflage themselves like tree branches.
32,71,Wedge-Tailed Eagle,Wedge-tailed eagles are Australia's largest birds of prey.
33,73,Australian Pelican,Australian pelicans have extremely long bills.
34,75,Black Swan,Black swans are native to Australia.
35,77,Little Penguin,Little penguins are the smallest penguin species.
36,79,Australian Fur Seal,Australian fur seals breed on rocky islands.
37,81,Australian Sea Lion,Australian sea lions are found only around Australia.
38,83,Dugong,Dugongs graze on underwater seagrass meadows.
39,85,Humpback Whale,Humpback whales migrate along the Australian coast.
40,87,Bottlenose Dolphin,Bottlenose dolphins live in many Australian coastal waters.
41,89,Great White Shark,Great white sharks are powerful ocean predators.
42,91,Whale Shark,Whale sharks are the largest fish in the world.
43,93,Port Jackson Shark,Port Jackson sharks have blunt heads and patterned bodies.
44,95,Blue-Ringed Octopus,Blue-ringed octopuses are small but highly venomous.
45,97,Giant Cuttlefish,Giant cuttlefish can rapidly change color and pattern.
46,99,Leafy Seadragon,Leafy seadragons have leaf-like body extensions for camouflage.
47,101,Weedy Seadragon,Weedy seadragons are relatives of seahorses.
48,103,Green Sea Turtle,Green sea turtles feed heavily on seagrasses as adults.
49,105,Flatback Sea Turtle,Flatback turtles nest mainly on Australian beaches.
50,107,Saltwater Crocodile,Saltwater crocodiles are the largest living reptiles.
51,109,Freshwater Crocodile,Freshwater crocodiles usually have narrower snouts than saltwater crocodiles.
52,111,Frilled Lizard,Frilled lizards can spread a large neck frill when threatened.
53,113,Thorny Devil,Thorny devils have spiny skin and channels that move water toward the mouth.
54,115,Blue-Tongued Skink,Blue-tongued skinks display bright blue tongues when threatened.
55,117,Perentie,Perenties are Australia's largest monitor lizards.
56,119,Inland Taipan,Inland taipans have extremely potent venom.
57,121,Green Tree Frog,Australian green tree frogs often shelter in cool damp places.
58,123,Corroboree Frog,Corroboree frogs have bold yellow-and-black markings.
59,125,Giant Burrowing Frog,Giant burrowing frogs spend much of their time underground.
60,127,Yabby,Yabbies are freshwater crayfish found in Australian waterways.
