number,interior_page,animal,fact
1,9,Bottlenose Dolphin,Dolphins use echolocation to help find objects underwater.
2,11,Humpback Whale,Male humpback whales can sing long and complicated songs.
3,13,Blue Whale,The blue whale is the largest animal known to have lived on Earth.
4,15,Orca,Orcas are the largest members of the dolphin family.
5,17,Sperm Whale,Sperm whales can dive very deep while searching for squid.
6,19,Beluga Whale,Beluga whales are sometimes called sea canaries because they make many sounds.
7,21,Narwhal,A narwhal's long tusk is actually an enlarged tooth.
8,23,Harbor Seal,A seal's whiskers can detect tiny movements in the water.
9,25,Sea Lion,Sea lions can rotate their hind flippers forward to help walk on land.
10,27,Walrus,Walruses use their sensitive whiskers to search for food on the seafloor.
11,29,Manatee,Manatees are gentle plant-eaters that spend much of their day grazing.
12,31,Dugong,Dugongs feed mainly on seagrass in warm coastal waters.
13,33,Great White Shark,Great white sharks have rows of replaceable teeth.
14,35,Hammerhead Shark,A hammerhead's wide head helps it sense and locate prey.
15,37,Whale Shark,Whale sharks are the largest fish in the world and eat tiny plankton.
16,39,Tiger Shark,Tiger sharks have dark vertical stripes when they are young.
17,41,Reef Shark,Reef sharks often patrol warm coral reefs for food.
18,43,Manta Ray,Manta rays use wide fins that look like wings to glide through the water.
19,45,Stingray,Stingrays often hide beneath sand on the seafloor.
20,47,Green Sea Turtle,Green sea turtles travel long distances through the ocean.
21,49,Loggerhead Sea Turtle,Loggerhead turtles have powerful jaws that can crush hard-shelled prey.
22,51,Leatherback Sea Turtle,Leatherback turtles are the largest living sea turtles.
23,53,Octopus,An octopus has three hearts.
24,55,Giant Pacific Octopus,Giant Pacific octopuses can change color and texture to help camouflage themselves.
25,57,Squid,Squid move quickly by pushing water through a tube called a siphon.
26,59,Cuttlefish,Cuttlefish can rapidly change their color and patterns.
27,61,Nautilus,A nautilus lives inside a spiral shell divided into many chambers.
28,63,Seahorse,Male seahorses carry developing babies inside a special pouch.
29,65,Clownfish,Clownfish can live safely among the tentacles of sea anemones.
30,67,Blue Tang,Blue tangs use sharp spines near their tails for defense.
31,69,Angelfish,Many marine angelfish live around warm coral reefs.
32,71,Butterflyfish,Butterflyfish often have bright patterns that help them blend into coral reefs.
33,73,Pufferfish,A pufferfish can inflate its body when it feels threatened.
34,75,Lionfish,Lionfish have long venomous spines that help protect them.
35,77,Moray Eel,Moray eels often hide in cracks and holes in coral reefs.
36,79,Barracuda,Barracudas are fast fish with long bodies and sharp teeth.
37,81,Swordfish,"Swordfish use their long, flat bills to help stun prey."
38,83,Sailfish,Sailfish are known for their tall sail-like dorsal fins.
39,85,Tuna,Tuna are powerful swimmers built for traveling quickly through open water.
40,87,Flying Fish,Flying fish can leap from the water and glide through the air.
41,89,Parrotfish,Parrotfish use beak-like teeth to scrape algae from coral and rocks.
42,91,Grouper,Groupers are strong reef fish with very large mouths.
43,93,Mahi-Mahi,Mahi-mahi can change color quickly when excited or stressed.
44,95,Sunfish,Ocean sunfish are among the heaviest bony fish in the world.
45,97,Moon Jellyfish,Moon jellies have translucent bodies and four visible reproductive organs.
46,99,Sea Star,Sea stars can regrow some lost arms.
47,101,Sea Urchin,Sea urchins move using tiny tube feet underneath their bodies.
48,103,Sea Cucumber,Sea cucumbers help recycle nutrients on the ocean floor.
49,105,Crab,Many crabs can regrow a lost leg after they molt.
50,107,Hermit Crab,Hermit crabs protect their soft bodies by living inside empty shells.
51,109,Lobster,Lobsters have strong claws and a hard outer shell.
52,111,Shrimp,Shrimp have long antennae that help them sense their surroundings.
53,113,Krill,Krill are tiny crustaceans that are an important food source for many whales.
54,115,Horseshoe Crab,Horseshoe crabs are more closely related to spiders than true crabs.
55,117,Sea Anemone,Sea anemones use stinging tentacles to catch tiny animals.
56,119,Coral,Coral reefs are built by colonies of tiny animals called coral polyps.
57,121,Sea Sponge,Sea sponges filter tiny food particles from water that flows through their bodies.
58,123,Penguin,Penguins use their wing-shaped flippers to swim through the water.
59,125,Pelican,Pelicans use their large throat pouches to help catch fish.
60,127,Albatross,Albatrosses can glide for long distances over the ocean using very little energy.
