number,interior_page,batch,subject,expected_filename,status,qa_status
1,9,B055,Great White Shark,01_great_white_shark.png,Queued,Not Reviewed
2,11,B055,Whale Shark,02_whale_shark.png,Queued,Not Reviewed
3,13,B055,Great Hammerhead Shark,03_great_hammerhead_shark.png,Queued,Not Reviewed
4,15,B055,Tiger Shark,04_tiger_shark.png,Queued,Not Reviewed
5,17,B055,Bull Shark,05_bull_shark.png,Queued,Not Reviewed
6,19,B055,Nurse Shark,06_nurse_shark.png,Queued,Not Reviewed
7,21,B055,Blacktip Reef Shark,07_blacktip_reef_shark.png,Queued,Not Reviewed
8,23,B055,Whitetip Reef Shark,08_whitetip_reef_shark.png,Queued,Not Reviewed
9,25,B055,Lemon Shark,09_lemon_shark.png,Queued,Not Reviewed
10,27,B055,Shortfin Mako Shark,10_shortfin_mako_shark.png,Queued,Not Reviewed
11,29,B055,Thresher Shark,11_thresher_shark.png,Queued,Not Reviewed
12,31,B055,Goblin Shark,12_goblin_shark.png,Queued,Not Reviewed
13,33,B055,Basking Shark,13_basking_shark.png,Queued,Not Reviewed
14,35,B055,Greenland Shark,14_greenland_shark.png,Queued,Not Reviewed
15,37,B055,Blue Shark,15_blue_shark.png,Queued,Not Reviewed
16,39,B055,Zebra Shark,16_zebra_shark.png,Queued,Not Reviewed
17,41,B055,Epaulette Shark,17_epaulette_shark.png,Queued,Not Reviewed
18,43,B055,Wobbegong,18_wobbegong.png,Queued,Not Reviewed
19,45,B055,Cookiecutter Shark,19_cookiecutter_shark.png,Queued,Not Reviewed
20,47,B055,Port Jackson Shark,20_port_jackson_shark.png,Queued,Not Reviewed
21,49,B055,Horn Shark,21_horn_shark.png,Queued,Not Reviewed
22,51,B055,Angel Shark,22_angel_shark.png,Queued,Not Reviewed
23,53,B055,Sawshark,23_sawshark.png,Queued,Not Reviewed
24,55,B055,Spiny Dogfish,24_spiny_dogfish.png,Queued,Not Reviewed
25,57,B055,Bonnethead Shark,25_bonnethead_shark.png,Queued,Not Reviewed
26,59,B055,Silky Shark,26_silky_shark.png,Queued,Not Reviewed
27,61,B055,Oceanic Whitetip Shark,27_oceanic_whitetip_shark.png,Queued,Not Reviewed
28,63,B055,Spinner Shark,28_spinner_shark.png,Queued,Not Reviewed
29,65,B055,Sand Tiger Shark,29_sand_tiger_shark.png,Queued,Not Reviewed
30,67,B055,Frilled Shark,30_frilled_shark.png,Queued,Not Reviewed
31,69,B056,Giant Manta Ray,31_giant_manta_ray.png,Queued,Not Reviewed
32,71,B056,Reef Manta Ray,32_reef_manta_ray.png,Queued,Not Reviewed
33,73,B056,Spotted Eagle Ray,33_spotted_eagle_ray.png,Queued,Not Reviewed
34,75,B056,Southern Stingray,34_southern_stingray.png,Queued,Not Reviewed
35,77,B056,Round Stingray,35_round_stingray.png,Queued,Not Reviewed
36,79,B056,Blue-Spotted Ribbontail Ray,36_blue_spotted_ribbontail_ray.png,Queued,Not Reviewed
37,81,B056,Cownose Ray,37_cownose_ray.png,Queued,Not Reviewed
38,83,B056,Bat Ray,38_bat_ray.png,Queued,Not Reviewed
39,85,B056,Pacific Electric Ray,39_pacific_electric_ray.png,Queued,Not Reviewed
40,87,B056,Smooth Butterfly Ray,40_smooth_butterfly_ray.png,Queued,Not Reviewed
41,89,B056,Common Guitarfish,41_common_guitarfish.png,Queued,Not Reviewed
42,91,B056,Shovelnose Guitarfish,42_shovelnose_guitarfish.png,Queued,Not Reviewed
43,93,B056,Smalltooth Sawfish,43_smalltooth_sawfish.png,Queued,Not Reviewed
44,95,B056,Clearnose Skate,44_clearnose_skate.png,Queued,Not Reviewed
45,97,B056,Thornback Skate,45_thornback_skate.png,Queued,Not Reviewed
46,99,B056,Little Skate,46_little_skate.png,Queued,Not Reviewed
47,101,B056,Devil Ray,47_devil_ray.png,Queued,Not Reviewed
48,103,B056,Mobula Ray,48_mobula_ray.png,Queued,Not Reviewed
49,105,B056,Pelagic Stingray,49_pelagic_stingray.png,Queued,Not Reviewed
50,107,B056,Yellow Stingray,50_yellow_stingray.png,Queued,Not Reviewed
51,109,B056,Atlantic Stingray,51_atlantic_stingray.png,Queued,Not Reviewed
52,111,B056,Ocellate River Stingray,52_ocellate_river_stingray.png,Queued,Not Reviewed
53,113,B056,Porcupine Ray,53_porcupine_ray.png,Queued,Not Reviewed
54,115,B056,Sixgill Stingray,54_sixgill_stingray.png,Queued,Not Reviewed
55,117,B056,Shark Ray,55_shark_ray.png,Queued,Not Reviewed
56,119,B056,Bowmouth Guitarfish,56_bowmouth_guitarfish.png,Queued,Not Reviewed
57,121,B056,Common Skate,57_common_skate.png,Queued,Not Reviewed
58,123,B056,Manta Ray Pup,58_manta_ray_pup.png,Queued,Not Reviewed
59,125,B056,Baby Shark,59_baby_shark.png,Queued,Not Reviewed
60,127,B056,Ray Pup,60_ray_pup.png,Queued,Not Reviewed
