number,interior_page,animal,fact
1,9,North American River Otter,North American river otters are excellent swimmers and can close their ears and nostrils underwater.
2,11,Beaver,Beavers build dams that can create ponds and wetland habitats.
3,13,Muskrat,Muskrats build homes from mud and wetland plants.
4,15,American Mink,Minks are strong swimmers that often hunt near streams and wetlands.
5,17,Capybara,Capybaras are the world's largest rodents and spend lots of time near water.
6,19,Nutria,Nutria are large semi-aquatic rodents with orange front teeth.
7,21,Water Vole,"Water voles live along slow-moving streams, ponds, and riverbanks."
8,23,Marsh Rabbit,Marsh rabbits are strong swimmers that live around wetlands.
9,25,Hippopotamus,Hippos spend much of the day in water to stay cool.
10,27,Pygmy Hippo,Pygmy hippos live around forest streams and swamps in West Africa.
11,29,Manatee,Manatees are gentle plant-eating mammals that graze on aquatic vegetation.
12,31,Amazon River Dolphin,Amazon river dolphins can turn their necks more than ocean dolphins can.
13,33,Ganges River Dolphin,Ganges river dolphins use echolocation to navigate muddy river water.
14,35,Giant Otter,Giant otters live in family groups and communicate with many different calls.
15,37,Platypus,Platypuses use sensitive bills to find food underwater.
16,39,American Alligator,Alligators can create water-filled holes that help other wetland animals during dry periods.
17,41,American Crocodile,American crocodiles can live in both fresh and salty water habitats.
18,43,Freshwater Crocodile,Freshwater crocodiles are smaller and slimmer than saltwater crocodiles.
19,45,Gharial,Gharials have long narrow snouts that are well suited for catching fish.
20,47,Common Snapping Turtle,Snapping turtles have powerful jaws and spend much of their lives in water.
21,49,Painted Turtle,Painted turtles often bask together on logs in the sun.
22,51,Spiny Softshell Turtle,Spiny softshell turtles have flattened shells covered by leathery skin.
23,53,Northern Map Turtle,Northern map turtles have fine shell markings that can look like lines on a map.
24,55,Red-Eared Slider,Red-eared sliders are named for the red markings behind their eyes.
25,57,Green Anaconda,Green anacondas are heavy-bodied snakes that spend lots of time in water.
26,59,Cottonmouth,Cottonmouths are venomous snakes often found around southeastern wetlands.
27,61,Northern Water Snake,Northern water snakes are nonvenomous and often swim with their bodies near the surface.
28,63,Green Frog,"Green frogs live around ponds, streams, and marshes."
29,65,Bullfrog,Bullfrogs are large frogs with deep calls that can sound like a low bellow.
30,67,Northern Leopard Frog,Northern leopard frogs have dark spots on their backs and strong jumping legs.
31,69,Green Tree Frog,Green tree frogs have sticky toe pads that help them climb vegetation.
32,71,Eastern Newt,Eastern newts often spend part of their lives in water.
33,73,Mudpuppy,Mudpuppies are fully aquatic salamanders with feathery external gills.
34,75,Axolotl,Axolotls keep their larval features and external gills as adults.
35,77,Great Blue Heron,Great blue herons stand still in shallow water before striking at prey.
36,79,Great Egret,Great egrets use long necks and sharp bills to catch fish and other small animals.
37,81,Green Heron,Green herons sometimes drop small objects on water as bait to attract fish.
38,83,Roseate Spoonbill,Roseate spoonbills sweep their spoon-shaped bills side to side through shallow water.
39,85,Wood Stork,Wood storks find prey by touch as they move their open bills through the water.
40,87,Sandhill Crane,Sandhill cranes perform elaborate dances with jumps and wing flaps.
41,89,Common Moorhen,Moorhens use long toes to walk over floating vegetation.
42,91,Purple Gallinule,Purple gallinules have very long toes for walking on lily pads and marsh plants.
43,93,Mallard,Mallards tip forward in shallow water to reach plants and small animals below the surface.
44,95,Wood Duck,Wood ducks often nest in tree cavities near water.
45,97,Canada Goose,"Canada geese commonly rest and feed around lakes, rivers, and wetlands."
46,99,Belted Kingfisher,Kingfishers dive headfirst into water to catch fish.
47,101,Osprey,Ospreys have special gripping feet that help them hold slippery fish.
48,103,Bald Eagle,Bald eagles often hunt fish near rivers and lakes.
49,105,Amazon Kingfisher,Amazon kingfishers perch above rivers and dive into the water to catch fish.
50,107,Common Loon,Loons are powerful divers with legs positioned far back on their bodies.
51,109,Bluegill,Bluegills are freshwater sunfish commonly found in ponds and slow rivers.
52,111,Largemouth Bass,Largemouth bass are ambush predators with very large mouths.
53,113,Channel Catfish,Channel catfish use whisker-like barbels to sense food in murky water.
54,115,Common Carp,Carp use sensitive barbels near their mouths to help search for food.
55,117,Alligator Gar,"Alligator gar have long bodies, armored scales, and broad toothy jaws."
56,119,Fallfish,Fallfish are large minnows that live in clear rivers and streams.
57,121,Crayfish,Crayfish use claws to grab food and defend themselves.
58,123,Freshwater Mussel,Freshwater mussels help filter tiny particles from water as they feed.
59,125,Dragonfly Nymph,Dragonfly nymphs live underwater before changing into flying adults.
60,127,Water Strider,Water striders use surface tension to skate across the top of ponds and streams.
