number,interior_page,batch,subject,expected_filename,fact
1,9,B049,Mountain Goat,01_mountain_goat.png,Mountain goats have rubbery hoof pads that help them grip steep rock.
2,11,B049,Bighorn Sheep,02_bighorn_sheep.png,Bighorn sheep use powerful legs to climb rocky slopes.
3,13,B049,Dall Sheep,03_dall_sheep.png,Dall sheep have white coats that blend into snowy mountain landscapes.
4,15,B049,Alpine Ibex,04_alpine_ibex.png,Alpine ibex are wild goats with long curved horns.
5,17,B049,Nubian Ibex,05_nubian_ibex.png,Nubian ibex live on steep rocky mountains in dry regions.
6,19,B049,Himalayan Tahr,06_himalayan_tahr.png,Himalayan tahrs are sure-footed hoofed mammals with thick coats.
7,21,B049,Markhor,07_markhor.png,Markhors are wild goats with dramatic spiral horns.
8,23,B049,Chamois,08_chamois.png,Chamois are agile mountain animals related to goats and antelopes.
9,25,B049,Tibetan Antelope,09_tibetan_antelope.png,Tibetan antelope live on high cold plateaus.
10,27,B049,Yak,10_yak.png,Domestic and wild yaks have thick coats for cold high-altitude environments.
11,29,B049,Musk Deer,11_musk_deer.png,Musk deer have long canine teeth instead of antlers.
12,31,B049,Red Deer,12_red_deer.png,Red deer live in forests and mountain valleys in many regions.
13,33,B049,Elk,13_elk.png,Elk often move between mountain meadows and forests.
14,35,B049,Moose,14_moose.png,Moose can live in cool mountain forests and wetlands.
15,37,B049,Pronghorn,15_pronghorn.png,Pronghorns use speed to cross open high plains.
16,39,B049,American Pika,16_american_pika.png,Pikas collect plants into haypiles for winter.
17,41,B049,Alpine Marmot,17_alpine_marmot.png,Alpine marmots live in mountain burrows and hibernate through winter.
18,43,B049,Hoary Marmot,18_hoary_marmot.png,Hoary marmots are large ground squirrels of rocky mountain regions.
19,45,B049,Yellow-Bellied Marmot,19_yellow_bellied_marmot.png,These marmots bask on rocks near mountain burrows.
20,47,B049,Mountain Hare,20_mountain_hare.png,Mountain hares can grow pale winter coats in snowy regions.
21,49,B049,Snowshoe Hare,21_snowshoe_hare.png,Snowshoe hares have oversized furry feet that help them move over snow.
22,51,B049,Rock Hyrax,22_rock_hyrax.png,Rock hyraxes live among cliffs and boulders in parts of Africa and the Middle East.
23,53,B049,Snow Leopard,23_snow_leopard.png,Snow leopards have long tails that help with balance on steep slopes.
24,55,B049,Cougar,24_cougar.png,Cougars can live in rugged mountains from Canada to South America.
