number,interior_page,animal,fact
1,9,African Lion,Lions are the only cats that regularly live in social groups called prides.
2,11,African Elephant,African elephants are the largest living land animals.
3,13,Giraffe,Giraffes use their long necks to reach leaves high in trees.
4,15,Plains Zebra,Each zebra has a unique pattern of stripes.
5,17,Cheetah,Cheetahs are the fastest land animals over short distances.
6,19,Leopard,Leopards are strong climbers and often rest in trees.
7,21,White Rhinoceros,White rhinos have wide square lips that help them graze on grass.
8,23,Black Rhinoceros,Black rhinos use pointed upper lips to grasp leaves and twigs.
9,25,Hippopotamus,Hippos spend much of the day in water to stay cool.
10,27,African Buffalo,African buffalo often travel in large herds for protection.
11,29,Blue Wildebeest,Wildebeest can travel long distances while following seasonal rains.
12,31,Thomson's Gazelle,Thomson's gazelles are quick runners that live on open grasslands.
13,33,Grant's Gazelle,Grant's gazelles can go for long periods without drinking free-standing water.
14,35,Impala,Impalas can leap high and far to escape danger.
15,37,Greater Kudu,Greater kudus have large ears and males grow spiral horns.
16,39,Eland,Elands are the largest living antelopes.
17,41,Gemsbok,Gemsbok have long straight horns and are well adapted to dry habitats.
18,43,Sable Antelope,Sable antelopes have curved horns and strong necks.
19,45,Waterbuck,Waterbucks are often found near rivers and lakes.
20,47,Springbok,Springboks can make high stiff-legged jumps called pronking.
21,49,Common Warthog,Warthogs often kneel on their front legs while grazing.
22,51,African Wild Dog,African wild dogs live in close-knit packs and hunt cooperatively.
23,53,Spotted Hyena,Spotted hyenas have powerful jaws and live in groups called clans.
24,55,Striped Hyena,Striped hyenas are mostly active at night.
25,57,Jackal,Jackals are adaptable canids that eat many different kinds of food.
26,59,Meerkat,Meerkats take turns watching for danger while others forage.
27,61,Mongoose,Mongooses are quick predators that eat insects and other small animals.
28,63,Aardvark,Aardvarks use strong claws to dig for ants and termites.
29,65,Porcupine,Porcupines protect themselves with sharp quills.
30,67,Baboon,Baboons live in social groups and communicate with many sounds and gestures.
31,69,Vervet Monkey,Vervet monkeys use different alarm calls for different predators.
32,71,Colobus Monkey,Colobus monkeys spend much of their time in trees and eat many leaves.
33,73,Ostrich,Ostriches are the largest living birds and can run very fast.
34,75,Secretary Bird,Secretary birds hunt snakes and other small animals on the ground.
35,77,Crowned Crane,Crowned cranes have a distinctive crown of golden feathers.
36,79,Marabou Stork,Marabou storks have huge wings and often soar on warm air currents.
37,81,African Fish Eagle,African fish eagles catch fish with powerful talons.
38,83,Helmeted Guineafowl,Helmeted guineafowl travel in flocks and make loud calls.
39,85,Shoebill,Shoebills have enormous shoe-shaped bills for catching fish.
40,87,Flamingo,Flamingos get pink coloring from pigments in the food they eat.
41,89,Nile Crocodile,Nile crocodiles are powerful swimmers that spend much of their lives near water.
42,91,African Rock Python,African rock pythons kill prey by constriction rather than venom.
43,93,Black Mamba,Black mambas are fast snakes that usually try to avoid people.
44,95,Puff Adder,Puff adders rely on camouflage and often remain still when threatened.
45,97,African Spurred Tortoise,African spurred tortoises dig burrows to escape extreme heat.
46,99,Nile Monitor,Nile monitors are large lizards that can swim well.
47,101,Chameleon,Chameleons can move their eyes independently and shoot out long sticky tongues.
48,103,Agama Lizard,Many male agamas develop bright colors during breeding season.
49,105,Dung Beetle,Dung beetles help recycle nutrients by burying animal droppings.
50,107,Termite,Termites build large colonies and help break down dead plant material.
51,109,Tsetse Fly,Tsetse flies are found in parts of sub-Saharan Africa and feed on blood.
52,111,Acacia Ant,Some ants live in acacia trees and help defend the trees from herbivores.
53,113,Honey Badger,Honey badgers are strong diggers and are known for bold behavior.
54,115,Bat-Eared Fox,Bat-eared foxes use their huge ears to locate insects underground.
55,117,Serval,Servals have long legs and large ears that help them hunt in tall grass.
56,119,Caracal,Caracals can leap high into the air to catch birds.
57,121,Genet,Genets are agile nocturnal mammals with long tails.
58,123,Okapi,Okapis are relatives of giraffes and have striped legs.
59,125,Greater Flamingo,Greater flamingos use special bills to filter tiny food from water.
60,127,Pangolin,Pangolins are mammals covered in protective keratin scales.
