number,interior_page,animal,fact
1,9,Labrador Retriever,Labradors are friendly working dogs known for swimming and retrieving.
2,11,Golden Retriever,Golden retrievers were bred to carry game gently in their mouths.
3,13,German Shepherd,German shepherds are intelligent working dogs used in many kinds of jobs.
4,15,French Bulldog,French bulldogs are compact dogs known for their large upright ears.
5,17,Bulldog,Bulldogs have broad heads, sturdy bodies, and famously wrinkled faces.
6,19,Poodle,Poodles are highly intelligent dogs with curly coats that shed very little.
7,21,Beagle,Beagles have excellent noses and were bred to follow scent trails.
8,23,Rottweiler,Rottweilers are strong working dogs that were once used to drive cattle.
9,25,Dachshund,Dachshunds have long bodies and short legs suited for entering burrows.
10,27,German Shorthaired Pointer,German shorthaired pointers are athletic hunting dogs with strong noses.
11,29,Pembroke Welsh Corgi,Pembroke Welsh corgis were bred to herd cattle despite their short legs.
12,31,Australian Shepherd,Australian shepherds are energetic herding dogs known for quick learning.
13,33,Yorkshire Terrier,Yorkshire terriers are tiny dogs with long silky coats.
14,35,Cavalier King Charles Spaniel,Cavaliers are gentle companion dogs with long feathered ears.
15,37,Doberman Pinscher,Dobermans are sleek, intelligent dogs originally developed for protection.
16,39,Boxer,Boxers are energetic dogs with muscular bodies and square-shaped muzzles.
17,41,Miniature Schnauzer,Miniature schnauzers are alert small dogs with distinctive eyebrows and beards.
18,43,Cane Corso,Cane corsos are large Italian working dogs with powerful builds.
19,45,Great Dane,Great Danes are among the tallest dog breeds in the world.
20,47,Shih Tzu,Shih tzus were bred as companion dogs and often have long flowing coats.
21,49,Siberian Husky,Siberian huskies were bred to pull sleds across snowy landscapes.
22,51,Bernese Mountain Dog,Bernese mountain dogs were bred as farm dogs in the Swiss Alps.
23,53,Pomeranian,Pomeranians are small spitz dogs with thick fluffy coats and plumed tails.
24,55,Boston Terrier,Boston terriers are compact dogs with tuxedo-like markings and upright ears.
25,57,Havanese,Havanese are small companion dogs with soft wavy coats.
26,59,English Springer Spaniel,Springer spaniels are energetic dogs bred to flush birds from cover.
27,61,Shetland Sheepdog,Shetland sheepdogs are small herding dogs known for intelligence and agility.
28,63,Brittany,Brittanys are athletic bird dogs that are fast and eager to work.
29,65,Cocker Spaniel,Cocker spaniels are sporting dogs known for long ears and silky coats.
30,67,Border Collie,Border collies are famous for their herding skill and intense focus.
31,69,Chihuahua,Chihuahuas are one of the smallest dog breeds in the world.
32,71,Pug,Pugs have curled tails, round eyes, and wrinkled faces.
33,73,Mastiff,Mastiffs are giant dogs with heavy bodies and calm temperaments.
34,75,Basset Hound,Basset hounds have very long ears and powerful scenting ability.
35,77,Belgian Malinois,Belgian malinois are agile working dogs often trained for demanding tasks.
36,79,Vizsla,Vizslas are sleek Hungarian sporting dogs that form close bonds with people.
37,81,Newfoundland,Newfoundlands are giant water dogs known for strong swimming ability.
38,83,Rhodesian Ridgeback,Rhodesian ridgebacks have a line of hair along the back that grows backward.
39,85,Weimaraner,Weimaraners are athletic hunting dogs known for smooth gray coats.
40,87,Akita,Akitas are powerful Japanese dogs with curled tails and thick coats.
41,89,Samoyed,Samoyeds have thick white coats and upturned mouths that can look like smiles.
42,91,Alaskan Malamute,Alaskan malamutes are strong sled dogs built for pulling heavy loads.
43,93,Whippet,Whippets are slim, fast dogs related to greyhounds.
44,95,Greyhound,Greyhounds are among the fastest dog breeds over short distances.
45,97,Bloodhound,Bloodhounds have an extraordinary sense of smell and long drooping ears.
46,99,Collie,Collies are herding dogs made famous for their long coats and gentle nature.
47,101,Dalmatian,Dalmatians are famous for their spotted coats.
48,103,Saint Bernard,Saint Bernards are giant mountain dogs historically associated with Alpine rescue.
49,105,Irish Setter,Irish setters are sporting dogs known for long red coats.
50,107,Great Pyrenees,Great Pyrenees are large livestock guardian dogs with thick white coats.
51,109,Papillon,Papillons are tiny spaniels with large butterfly-shaped ears.
52,111,Maltese,Maltese are small companion dogs known for long white coats.
53,113,West Highland White Terrier,Westies are sturdy small terriers with bright white coats.
54,115,Scottish Terrier,Scottish terriers are compact dogs with wiry coats and strong personalities.
55,117,Jack Russell Terrier,Jack Russell terriers are energetic small dogs bred for fox hunting.
56,119,Shiba Inu,Shiba inu are small Japanese dogs with curled tails and foxlike faces.
57,121,Bichon Frise,Bichons are cheerful small dogs with soft curly white coats.
58,123,Australian Cattle Dog,Australian cattle dogs were bred to move cattle across long distances.
59,125,Old English Sheepdog,Old English sheepdogs have shaggy coats and were bred to herd livestock.
60,127,Basenji,Basenjis are African hunting dogs known for making yodel-like sounds instead of typical barks.
