number,interior_page,animal,fact
1,9,Fennec Fox,Fennec foxes have very large ears that help release body heat.
2,11,Kit Fox,Kit foxes are small desert foxes with large ears and quick movements.
3,13,Coyote,"Coyotes can live in deserts, grasslands, forests, and even cities."
4,15,Bobcat,Bobcats have short tails with dark tips and tufted ears.
5,17,Mountain Lion,Mountain lions can leap long distances with their powerful hind legs.
6,19,Desert Bighorn Sheep,Desert bighorn sheep can travel across steep rocky slopes with strong hooves.
7,21,Pronghorn,Pronghorns are among the fastest land mammals in North America.
8,23,Black-Tailed Jackrabbit,Jackrabbits use their long ears to help release heat.
9,25,Desert Cottontail,Desert cottontails rest in shade during the hottest parts of the day.
10,27,Kangaroo Rat,Kangaroo rats can survive with very little free water by getting moisture from seeds.
11,29,Desert Woodrat,Desert woodrats build large nests from sticks and plant material.
12,31,Antelope Ground Squirrel,Antelope ground squirrels can hold their tails over their backs like tiny sunshades.
13,33,Meerkat,Meerkats take turns watching for danger while the group searches for food.
14,35,Dromedary Camel,Dromedary camels have one hump that stores fat.
15,37,Bactrian Camel,Bactrian camels have two humps and can handle very cold deserts.
16,39,Addax,Addax antelope are adapted to hot dry deserts and can go long periods without drinking.
17,41,Oryx,Oryx have long straight horns and can tolerate high desert temperatures.
18,43,Jerboa,Jerboas hop on long hind legs and live in sandy deserts.
19,45,Desert Hedgehog,Desert hedgehogs curl into a spiny ball when threatened.
20,47,Fat-Tailed Gerbil,Fat-tailed gerbils store extra fat in their thick tails.
21,49,Greater Roadrunner,Roadrunners can run quickly on the ground and hunt small desert animals.
22,51,Burrowing Owl,Burrowing owls often live in underground burrows made by other animals.
23,53,Cactus Wren,Cactus wrens build bulky nests among thorny desert plants.
24,55,Gambel's Quail,Gambel's quail have a curved plume on top of their heads.
25,57,Greater Sage-Grouse,Male sage-grouse perform special dances at gathering places called leks.
26,59,Gila Woodpecker,Gila woodpeckers sometimes carve nest holes into giant saguaro cacti.
27,61,Verdin,Verdins build round nests with side entrances in desert shrubs.
28,63,Elf Owl,Elf owls are among the smallest owls in the world.
29,65,Turkey Vulture,Turkey vultures can find carrion partly by using a strong sense of smell.
30,67,Golden Eagle,Golden eagles use powerful talons to catch prey.
31,69,Gila Monster,Gila monsters are venomous lizards that spend much of their time underground.
32,71,Desert Iguana,Desert iguanas can stay active during very hot weather.
33,73,Chuckwalla,Chuckwallas wedge themselves into rock cracks and inflate their bodies when threatened.
34,75,Collared Lizard,Collared lizards can run on their hind legs for short distances.
35,77,Horned Lizard,Horned lizards have broad flat bodies covered with pointed scales.
36,79,Fringe-Toed Lizard,Fringe-toed lizards have special scales on their toes that help them move across loose sand.
37,81,Sidewinder,Sidewinders move sideways across loose sand and leave J-shaped tracks.
38,83,Western Diamondback Rattlesnake,Rattlesnakes warn threats by shaking special segments at the ends of their tails.
39,85,Coachwhip Snake,Coachwhips are fast nonvenomous snakes found in dry open habitats.
40,87,Desert Tortoise,Desert tortoises spend much of the year in burrows to avoid extreme heat and cold.
41,89,Spadefoot Toad,Spadefoot toads can remain underground for long dry periods and emerge after heavy rains.
42,91,Sonoran Desert Toad,Sonoran desert toads are large toads that become active during warm rainy weather.
43,93,Desert Rain Frog,Desert rain frogs have rounded bodies and live in sandy coastal deserts.
44,95,Scorpion,Scorpions use pincers and a curved stinger to capture prey and defend themselves.
45,97,Desert Tarantula,Desert tarantulas spend much of their time in burrows.
46,99,Sun Spider,Sun spiders are fast arachnids with large jaws but no venomous stinger.
47,101,Darkling Beetle,Some desert darkling beetles collect moisture from fog on their bodies.
48,103,Sahara Silver Ant,Sahara silver ants can forage briefly during extremely hot daytime conditions.
49,105,Desert Locust,Desert locusts can form enormous traveling swarms when conditions are right.
50,107,Tarantula Hawk Wasp,Tarantula hawk wasps hunt tarantulas to provide food for their young.
51,109,Desert Honey Ant,Some honey ants store sweet liquid in the swollen abdomens of special workers.
52,111,Deathstalker Scorpion,Deathstalker scorpions are pale desert scorpions adapted to dry regions.
53,113,Ghost Crab,Ghost crabs are fast-running shore crabs that live in burrows above the high-tide line on sandy beaches.
54,115,Saharan Horned Viper,Saharan horned vipers can bury themselves in sand with only their eyes exposed.
55,117,Thorny Devil,Thorny devils have grooved skin that can channel water toward their mouths.
56,119,Perentie,Perenties are large monitor lizards found in arid parts of Australia.
57,121,Bilby,Bilbies have long ears and dig deep spiral burrows in dry Australian habitats.
58,123,Red Kangaroo,Red kangaroos are well adapted to Australia's dry interior.
59,125,Emu,Emus can travel long distances in search of food and water.
60,127,Arabian Sand Gazelle,Arabian sand gazelles are slender desert antelope adapted to dry open landscapes.
