number,interior_page,animal,fact
1,9,Monarch Butterfly,Monarch butterflies migrate long distances between seasonal habitats.
2,11,Swallowtail Butterfly,Many swallowtail butterflies have tail-like extensions on their hind wings.
3,13,Painted Lady Butterfly,Painted lady butterflies live on every continent except Antarctica.
4,15,Blue Morpho Butterfly,Blue morpho wings look brilliant blue because of tiny structures that reflect light.
5,17,Luna Moth,Luna moths have pale green wings and long tails on their hind wings.
6,19,Atlas Moth,Atlas moths are among the largest moths in the world.
7,21,Cecropia Moth,Cecropia moths are the largest native moths in North America.
8,23,Honey Bee,Honey bees communicate the location of food with a movement called a waggle dance.
9,25,Bumblebee,Bumblebees can vibrate flowers to shake loose pollen.
10,27,Carpenter Bee,Carpenter bees make nesting tunnels in wood.
11,29,Paper Wasp,Paper wasps build open nests from chewed wood fibers mixed with saliva.
12,31,Bald-Faced Hornet,Bald-faced hornets build large gray paper nests above the ground.
13,33,Ladybug,Ladybugs are beetles that often eat plant pests such as aphids.
14,35,Firefly,Fireflies make light inside their bodies through a chemical reaction.
15,37,Stag Beetle,Male stag beetles have large jaws that can look like deer antlers.
16,39,Rhinoceros Beetle,Rhinoceros beetles are named for the horn-like structures on their heads.
17,41,Dung Beetle,Some dung beetles roll balls of animal dung to use as food or nesting material.
18,43,Click Beetle,Click beetles can snap their bodies and spring into the air when lying on their backs.
19,45,Weevil,Weevils are beetles with long snout-like mouths.
20,47,Dragonfly,"Dragonflies can fly forward, backward, and hover in place."
21,49,Damselfly,Damselflies usually fold their wings together above their bodies when resting.
22,51,Grasshopper,Grasshoppers have powerful back legs for jumping.
23,53,Field Cricket,Male crickets chirp by rubbing parts of their wings together.
24,55,Katydid,"Many katydids look like leaves, which helps them hide among plants."
25,57,Praying Mantis,Praying mantises hold their front legs folded and use them to grab prey.
26,59,Walking Stick,Walking sticks use twig-like bodies as camouflage.
27,61,Leaf Insect,Leaf insects have flat green bodies that resemble leaves.
28,63,Cicada,Male cicadas make loud buzzing songs using special organs on their bodies.
29,65,Aphid,Aphids use needle-like mouthparts to drink sap from plants.
30,67,Black Garden Ant,"Ant colonies can include workers, queens, and developing young."
31,69,Leafcutter Ant,Leafcutter ants carry pieces of leaves underground to grow fungus for food.
32,71,Termite,Termites live in colonies and are important recyclers of dead plant material.
33,73,Mosquito,Only female mosquitoes of many species drink blood; both sexes also feed on plant sugars.
34,75,Housefly,Houseflies can taste food with sensors on their feet.
35,77,Fruit Fly,Fruit flies are attracted to ripe or fermenting fruit.
36,79,Horsefly,Horseflies have very large compound eyes.
37,81,Green Lacewing,Lacewing larvae eat many small plant pests such as aphids.
38,83,Mayfly,"Adult mayflies live briefly, while their young can spend much longer living in water."
39,85,Caddisfly,"Many caddisfly larvae build protective cases from sand, twigs, or other tiny materials."
40,87,Earwig,Earwigs have pincer-like structures at the ends of their abdomens.
41,89,Silverfish,Silverfish are wingless insects with shiny scales and three tail-like bristles.
42,91,Flea,Fleas can jump many times their own body length.
43,93,Water Strider,Water striders can skate across the surface of ponds without sinking.
44,95,Water Boatman,Water boatmen are aquatic insects that swim using oar-like hind legs.
45,97,Diving Beetle,Predaceous diving beetles are strong swimmers and carry air underwater.
46,99,Whirligig Beetle,Whirligig beetles spin quickly across the surface of ponds in groups.
47,101,Spittlebug,Spittlebug young hide inside bubbly foam on plant stems.
48,103,Shield Bug,Shield bugs have broad bodies shaped a little like shields.
49,105,Assassin Bug,Assassin bugs use a pointed beak to capture and feed on other small animals.
50,107,Stink Bug,Many stink bugs release a strong-smelling chemical when disturbed.
51,109,Lanternfly,Lanternflies are plant-feeding insects with striking wings and colors.
52,111,Dobsonfly,"Adult dobsonflies have large wings, and males of some species have very long jaws."
53,113,Mole Cricket,Mole crickets have shovel-like front legs made for digging.
54,115,Jerusalem Cricket,Jerusalem crickets are large wingless insects that spend much of their time underground.
55,117,Jumping Spider,Jumping spiders have excellent eyesight and leap onto prey.
56,119,Orb-Weaver Spider,Orb-weaver spiders build round wheel-shaped webs.
57,121,Tarantula,Tarantulas are large hairy spiders that usually hunt from the ground.
58,123,Scorpion,Scorpions have pincers and a curved tail tipped with a stinger.
59,125,Centipede,Centipedes have one pair of legs on each body segment.
60,127,Millipede,Millipedes have two pairs of legs on most body segments and often curl up for protection.
