number,interior_page,animal,fact
1,9,Toco Toucan,Toco toucans have huge bills that are surprisingly lightweight.
2,11,Keel-Billed Toucan,Keel-billed toucans have rainbow-colored bills.
3,13,Channel-Billed Toucan,Channel-billed toucans live in tropical forests of South America.
4,15,Scarlet Macaw,Scarlet macaws use strong curved beaks to crack nuts and seeds.
5,17,Blue-and-Yellow Macaw,Blue-and-yellow macaws are large social parrots.
6,19,Green-Winged Macaw,Green-winged macaws have red bodies with green-and-blue wings.
7,21,Hyacinth Macaw,Hyacinth macaws are the largest flying parrots by length.
8,23,Military Macaw,Military macaws are mostly green with colorful wing feathers.
9,25,Great Green Macaw,Great green macaws depend on tropical forests with large old trees.
10,27,African Grey Parrot,African grey parrots are famous for copying sounds.
11,29,Yellow-Headed Amazon,Amazon parrots are strong-flying birds with powerful voices.
12,31,Eclectus Parrot,Male and female eclectus parrots have dramatically different colors.
13,33,Sun Conure,Sun conures are small parrots with bright yellow and orange feathers.
14,35,Green-Cheeked Conure,Green-cheeked conures are playful parrots with long tails.
15,37,Rainbow Lorikeet,Lorikeets use brush-tipped tongues to drink nectar.
16,39,Red Lory,Red lories are nectar-feeding parrots from tropical islands.
17,41,Palm Cockatoo,Palm cockatoos have huge bills and tall crests.
18,43,Sulphur-Crested Cockatoo,Cockatoos can raise and lower their crests.
19,45,Pesquet's Parrot,Pesquet's parrots have dark feathers and bright red bellies.
20,47,Great Hornbill,Great hornbills have large bills topped by a casque.
21,49,Rhinoceros Hornbill,Rhinoceros hornbills have large upcurved casques on their bills.
22,51,Helmeted Hornbill,Helmeted hornbills have unusually solid casques.
23,53,Wreathed Hornbill,Wreathed hornbills live in forests across parts of Southeast Asia.
24,55,Southern Ground Hornbill,Ground hornbills spend much of their time walking on the forest floor.
25,57,Resplendent Quetzal,Resplendent quetzals have brilliant green plumage and long tail feathers.
26,59,Golden-Headed Quetzal,Quetzals are fruit-eating birds of Central and South American forests.
27,61,Andean Cock-of-the-Rock,Males gather at display areas to show bright orange plumage.
28,63,Guianan Cock-of-the-Rock,These birds nest near rocky forest cliffs and caves.
29,65,King Bird-of-Paradise,Male king birds-of-paradise have elaborate display feathers.
30,67,Raggiana Bird-of-Paradise,Birds-of-paradise are famous for spectacular courtship displays.
31,69,Wilson's Bird-of-Paradise,Males have vivid colors and curly tail feathers.
32,71,Blue Bird-of-Paradise,This species has shimmering blue and black feathers.
33,73,Victoria's Riflebird,Male riflebirds spread dark glossy wings during courtship displays.
34,75,Bowerbird,Male bowerbirds build decorated display structures called bowers.
35,77,Harpy Eagle,Harpy eagles are powerful rainforest raptors with huge talons.
36,79,Crested Eagle,Crested eagles hunt in tropical forests of Central and South America.
37,81,Ornate Hawk-Eagle,Ornate hawk-eagles have striking crests and patterned plumage.
38,83,Black-and-White Hawk-Eagle,These forest raptors have contrasting black-and-white feathers.
39,85,Great Potoo,Potoos use bark-like camouflage while resting on branches.
40,87,Oilbird,Oilbirds navigate dark caves with simple echolocation clicks.
41,89,Hoatzin,Hoatzin chicks have claws on their wings when young.
42,91,Sunbittern,Sunbitterns can spread wings to reveal large eye-like patterns.
43,93,Amazon Kingfisher,Amazon kingfishers dive into rivers to catch fish.
44,95,Green Kingfisher,Green kingfishers perch low over tropical streams.
45,97,Rufous-Tailed Jacamar,Jacamars catch flying insects from exposed perches.
46,99,Blue-Crowned Motmot,Motmots have long tails with racket-shaped feather tips.
47,101,Turquoise-Browed Motmot,This motmot has bright turquoise markings over its eyes.
48,103,Collared Aracari,Aracaris are smaller relatives of toucans.
49,105,Curl-Crested Aracari,This aracari has unusual curled feathers on top of its head.
50,107,Red-Legged Honeycreeper,Honeycreepers are small tropical birds that feed on fruit and nectar.
51,109,Green Honeycreeper,Green honeycreepers have slender bills for fruit and nectar.
52,111,Purple Honeycreeper,Males have vivid purple-blue feathers and yellow legs.
53,113,Scarlet Tanager,Scarlet tanagers migrate between North America and tropical forests.
54,115,Paradise Tanager,Paradise tanagers have several bright colors across their bodies.
55,117,Blue-Gray Tanager,Blue-gray tanagers are common in tropical woodland and gardens.
56,119,Violet-Crowned Woodnymph,This hummingbird has shimmering violet and green plumage.
57,121,Long-Tailed Sylph,Long-tailed sylph hummingbirds have dramatic flowing tail feathers.
58,123,Sword-Billed Hummingbird,Sword-billed hummingbirds have bills longer than their bodies.
59,125,Booted Racket-Tail,Racket-tail hummingbirds have unusual tail feathers with paddle-shaped tips.
60,127,Fiery-Throated Hummingbird,This hummingbird shows brilliant rainbow colors when light hits its feathers.
