number,interior_page,animal,fact
1,9,African Lion,Lions live in social groups called prides.
2,11,Tiger,Every tiger has a unique stripe pattern.
3,13,Cheetah,Cheetahs are the fastest land animals.
4,15,Leopard,Leopards are strong climbers.
5,17,Jaguar,Jaguars are powerful swimmers.
6,19,Snow Leopard,Snow leopards have long tails that help with balance.
7,21,African Elephant,African elephants are the largest land animals.
8,23,Asian Elephant,Asian elephants have smaller ears than African elephants.
9,25,Giraffe,Giraffes are the tallest living land animals.
10,27,Zebra,No two zebras have exactly the same stripe pattern.
11,29,White Rhinoceros,White rhinos are grazers with wide square lips.
12,31,Black Rhinoceros,Black rhinos use pointed lips to browse leaves.
13,33,Hippopotamus,Hippos spend much of the day in water.
14,35,Gorilla,Gorillas are the largest living primates.
15,37,Chimpanzee,Chimpanzees can use simple tools.
16,39,Orangutan,Orangutans have very long arms for moving through trees.
17,41,Baboon,Baboons live in social groups called troops.
18,43,Ring-Tailed Lemur,Ring-tailed lemurs use their long tails for visual signals.
19,45,Red Panda,Red pandas are excellent climbers.
20,47,Giant Panda,Giant pandas eat mostly bamboo.
21,49,Koala,Koalas sleep for many hours each day.
22,51,Kangaroo,Kangaroos move mainly by hopping.
23,53,Wombat,Wombats dig strong underground burrows.
24,55,Meerkat,Meerkats take turns watching for danger.
25,57,Fennec Fox,Fennec foxes have huge ears that help release heat.
26,59,Arctic Fox,Arctic foxes have thick fur even on their paws.
27,61,Gray Wolf,Wolves communicate with howls and body language.
28,63,Brown Bear,Brown bears eat a wide variety of foods.
29,65,Polar Bear,Polar bears are excellent swimmers.
30,67,Sloth Bear,Sloth bears use long claws to open termite nests.
31,69,Spotted Hyena,Spotted hyenas live in social clans.
32,71,African Wild Dog,African wild dogs hunt cooperatively in packs.
33,73,Bactrian Camel,Bactrian camels have two humps.
34,75,Dromedary Camel,Dromedary camels have one hump.
35,77,Okapi,Okapis are close relatives of giraffes.
36,79,Tapir,Tapirs have short flexible snouts.
37,81,Capybara,Capybaras are the largest rodents.
38,83,Giant Anteater,Giant anteaters use long tongues to eat ants and termites.
39,85,Two-Toed Sloth,Sloths move slowly and spend much of life in trees.
40,87,Giant Tortoise,Some giant tortoises can live for more than a century.
41,89,Komodo Dragon,Komodo dragons are the largest living lizards.
42,91,Nile Crocodile,Nile crocodiles are powerful aquatic predators.
43,93,American Alligator,Alligators have broad rounded snouts.
44,95,King Cobra,King cobras are the longest venomous snakes.
45,97,Green Anaconda,Green anacondas are among the heaviest snakes.
46,99,Bald Eagle,Bald eagles build very large nests.
47,101,Harpy Eagle,Harpy eagles have powerful talons.
48,103,Ostrich,Ostriches are the largest living birds.
49,105,Emu,Emus are large flightless birds from Australia.
50,107,Cassowary,Cassowaries have helmet-like casques on their heads.
51,109,Greater Flamingo,Flamingos filter tiny food from water with specialized bills.
52,111,Peacock,Male peafowl are called peacocks.
53,113,Toucan,Toucans have large lightweight bills.
54,115,Scarlet Macaw,Scarlet macaws use strong beaks to crack nuts.
55,117,African Penguin,African penguins make loud braying calls.
56,119,California Sea Lion,Sea lions can rotate their hind flippers under their bodies.
57,121,Harbor Seal,Harbor seals have no visible external ear flaps.
58,123,Bottlenose Dolphin,Dolphins use echolocation to sense objects underwater.
59,125,Sea Otter,Sea otters sometimes use rocks as tools.
60,127,Manatee,Manatees are gentle plant-eating marine mammals.
