number,interior_page,batch,subject,expected_filename,fact
1,9,B037,Barn Owl,01_barn_owl.png,Barn owls can hunt in darkness by using extremely sensitive hearing.
2,11,B037,Great Horned Owl,02_great_horned_owl.png,Great horned owls have feather tufts that look like ears but are not their actual ears.
3,13,B037,Eastern Screech-Owl,03_eastern_screech_owl.png,Eastern screech-owls can hide well against tree bark because of their mottled feathers.
4,15,B037,Burrowing Owl,04_burrowing_owl.png,Burrowing owls often live in underground burrows and may be active around dusk.
5,17,B037,Tawny Owl,05_tawny_owl.png,Tawny owls are woodland hunters with excellent night vision and hearing.
6,19,B037,Snowy Owl,06_snowy_owl.png,Snowy owls may hunt during daylight in Arctic summers where the sun stays up for long periods.
7,21,B037,Long-Eared Owl,07_long_eared_owl.png,Long-eared owls have tall feather tufts and often rest quietly in dense trees during the day.
8,23,B037,Short-Eared Owl,08_short_eared_owl.png,Short-eared owls often hunt low over open fields at dawn and dusk.
9,25,B037,Little Owl,09_little_owl.png,Little owls are small owls that may perch on posts while watching for prey.
10,27,B037,Nightjar,10_nightjar.png,Nightjars have wide mouths that help them catch flying insects.
11,29,B037,Nighthawk,11_nighthawk.png,Nighthawks catch insects while flying and are most active around evening.
12,31,B037,Kakapo,12_kakapo.png,Kakapos are flightless parrots from New Zealand that are active mostly at night.
13,33,B037,Kiwi,13_kiwi.png,Kiwis use long beaks and sensitive nostrils to search for food on the forest floor.
14,35,B037,Tarsier,14_tarsier.png,Tarsiers have enormous eyes that help them see in low light.
15,37,B037,Aye-Aye,15_aye_aye.png,Aye-ayes use a long middle finger to find insects hidden inside wood.
16,39,B037,Slow Loris,16_slow_loris.png,Slow lorises are small primates with large eyes adapted for nighttime activity.
17,41,B037,Bushbaby,17_bushbaby.png,Bushbabies can make powerful leaps between branches at night.
18,43,B037,Mouse Lemur,18_mouse_lemur.png,Mouse lemurs are tiny nocturnal primates from Madagascar.
19,45,B037,Raccoon,19_raccoon.png,Raccoons use sensitive front paws to explore food and objects.
20,47,B037,Opossum,20_opossum.png,Opossums are the only marsupials native to the United States and Canada.
21,49,B037,Skunk,21_skunk.png,Skunks can spray a strong-smelling liquid when they feel threatened.
22,51,B037,Badger,22_badger.png,Badgers are strong diggers that often rest in underground burrows.
23,53,B037,Hedgehog,23_hedgehog.png,Hedgehogs can curl into a tight ball to protect themselves with their spines.
24,55,B037,Porcupine,24_porcupine.png,Porcupines are covered with modified hairs called quills.
25,57,B037,Armadillo,25_armadillo.png,Many armadillos search for insects at night using a strong sense of smell.
26,59,B037,Fennec Fox,26_fennec_fox.png,Fennec foxes have huge ears that help them hear prey and release body heat.
27,61,B037,Red Fox,27_red_fox.png,Red foxes use their large ears to locate small animals hidden in grass or snow.
28,63,B037,Gray Fox,28_gray_fox.png,Gray foxes are unusual canids because they can climb trees.
29,65,B037,Coyote,29_coyote.png,"Coyotes communicate with yips, barks, and howls."
30,67,B037,Bobcat,30_bobcat.png,"Bobcats are stealthy cats that often hunt around dawn, dusk, and nighttime."
31,69,B038,Leopard,31_leopard.png,Leopards are powerful climbers and often rest or store food in trees.
32,71,B038,Clouded Leopard,32_clouded_leopard.png,Clouded leopards have long tails that help them balance while climbing.
33,73,B038,Black-Footed Cat,33_black_footed_cat.png,Black-footed cats are small African wild cats that hunt mostly at night.
34,75,B038,Pallas's Cat,34_pallass_cat.png,Pallas's cats have thick fur and rounded ears that help them blend into rocky habitats.
35,77,B038,Binturong,35_binturong.png,Binturongs use long prehensile tails to help grip branches.
36,79,B038,Civet,36_civet.png,Many civets are nocturnal mammals that forage for fruit and small animals.
37,81,B038,Genet,37_genet.png,Genets are agile nighttime hunters with long spotted bodies and ringed tails.
38,83,B038,Kinkajou,38_kinkajou.png,Kinkajous use long tongues to reach fruit and nectar.
39,85,B038,Sugar Glider,39_sugar_glider.png,Sugar gliders can glide between trees using skin stretched between their legs.
40,87,B038,Flying Squirrel,40_flying_squirrel.png,Flying squirrels glide from tree to tree using a membrane of skin between their limbs.
41,89,B038,Vampire Bat,41_vampire_bat.png,Vampire bats can detect warm spots on the skin of their prey.
42,91,B038,Fruit Bat,42_fruit_bat.png,Many fruit bats use their keen senses to find ripe fruit at night.
43,93,B038,Little Brown Bat,43_little_brown_bat.png,Little brown bats use echolocation to catch insects in darkness.
44,95,B038,Greater Horseshoe Bat,44_greater_horseshoe_bat.png,Horseshoe bats use a leaf-like nose structure to help focus echolocation calls.
45,97,B038,Flying Fox,45_flying_fox.png,Flying foxes are large fruit bats with faces that resemble small foxes.
46,99,B038,Moth,46_moth.png,Many moths are active at night and use feathery antennae or scent to find mates.
47,101,B038,Firefly,47_firefly.png,Fireflies make light with a chemical reaction called bioluminescence.
48,103,B038,Scorpion,48_scorpion.png,Scorpions glow under ultraviolet light because of chemicals in their outer covering.
49,105,B038,Tarantula,49_tarantula.png,Many tarantulas wait near burrows at night to catch insects and other small prey.
50,107,B038,Orb-Weaver Spider,50_orb_weaver_spider.png,Many orb-weaver spiders build new circular webs during evening or nighttime.
51,109,B038,Praying Mantis,51_praying_mantis.png,Some praying mantises hunt insects at night near lights.
52,111,B038,Katydid,52_katydid.png,Katydids often call after dark by rubbing parts of their wings together.
53,113,B038,Cricket,53_cricket.png,Male crickets chirp by rubbing their wings together.
54,115,B038,Gecko,54_gecko.png,Many geckos are active at night and can climb smooth surfaces with specialized toe pads.
55,117,B038,Tokay Gecko,55_tokay_gecko.png,Tokay geckos are large nocturnal geckos known for their loud calls.
56,119,B038,Leopard Gecko,56_leopard_gecko.png,Leopard geckos have movable eyelids and store fat in their tails.
57,121,B038,Ball Python,57_ball_python.png,Ball pythons are most active at night and may curl into a ball when frightened.
58,123,B038,Boa Constrictor,58_boa_constrictor.png,Boa constrictors use heat-sensitive pits to help detect warm animals.
59,125,B038,Axolotl,59_axolotl.png,Axolotls are aquatic salamanders that keep their feathery external gills as adults.
60,127,B038,Cane Toad,60_cane_toad.png,Cane toads often become active after sunset when temperatures are cooler.
