number,interior_page,animal,fact
1,9,Bird Nest,Many birds build nests to hold eggs and protect chicks.
2,11,Eagle Nest,Eagles build large nests of sticks called eyries.
3,13,Hummingbird Nest,Hummingbirds build tiny cup nests using plant fibers and spider silk.
4,15,Weaver Bird Nest,Weaver birds knot grass into hanging woven nests.
5,17,Penguin Colony,Many penguins raise chicks in large groups called colonies.
6,19,Rabbit Burrow,Rabbits dig underground burrows for shelter and raising young.
7,21,Prairie Dog Town,Prairie dogs live in connected underground burrow systems called towns.
8,23,Fox Den,Foxes use dens for resting and raising kits.
9,25,Wolf Den,Wolf pups are often born in sheltered dens.
10,27,Bear Den,Bears use dens for winter shelter and to raise newborn cubs.
11,29,Badger Sett,Badgers live in underground homes called setts.
12,31,Meerkat Burrow,Meerkats dig complex burrows with many entrances.
13,33,Mole Tunnel,Moles dig underground tunnels while searching for food.
14,35,Groundhog Burrow,Groundhogs build burrows with separate chambers.
15,37,Ant Colony,Ants build colonies with tunnels and chambers underground or in wood.
16,39,Termite Mound,Some termites build tall mounds that help control temperature inside.
17,41,Bee Hive,Honey bees live together in hives filled with wax comb.
18,43,Wasp Nest,Paper wasps build nests from chewed wood fibers.
19,45,Spider Web,Many spiders spin silk webs to catch food or protect eggs.
20,47,Silkworm Cocoon,Silkworm caterpillars spin silk cocoons before becoming moths.
21,49,Butterfly Chrysalis,Many butterflies transform inside a chrysalis.
22,51,Snail Shell,A snail carries a hard shell that protects its soft body.
23,53,Hermit Crab Shell,Hermit crabs move into empty shells for protection.
24,55,Turtle Shell,A turtle's shell is part of its skeleton.
25,57,Armadillo Burrow,Armadillos dig burrows to rest and escape heat.
26,59,Beaver Lodge,Beavers build lodges from sticks mud and vegetation.
27,61,Muskrat Lodge,Muskrats build dome-shaped lodges in wetlands.
28,63,Otter Holt,An otter's resting den can be called a holt.
29,65,Platypus Burrow,Platypuses dig riverbank burrows for resting and nesting.
30,67,Crocodile Nest,Crocodiles lay eggs in nests made of sand or vegetation.
31,69,Alligator Nest,Alligators build mound nests from plants and mud.
32,71,Sea Turtle Nest,Sea turtles bury their eggs in sandy beach nests.
33,73,Frog Pond,Many frogs lay eggs in ponds or other freshwater habitats.
34,75,Salamander Log,Many salamanders shelter under damp logs and rocks.
35,77,Fish Reef,Coral reefs provide hiding places and food for many fish.
36,79,Clownfish Anemone,Clownfish shelter among the tentacles of sea anemones.
37,81,Octopus Den,Octopuses hide in rocky dens and may decorate the entrance with shells.
38,83,Moray Eel Crevice,Moray eels often rest in narrow cracks in coral reefs.
39,85,Lobster Crevice,Lobsters shelter in rocky crevices during the day.
40,87,Seahorse Seagrass,Seahorses use their tails to grip seagrass and coral.
41,89,Polar Bear Snow Den,Pregnant polar bears dig snow dens where cubs are born.
42,91,Arctic Fox Den,Arctic fox families may reuse the same den for many years.
43,93,Penguin Nest,Many penguins nest on stones or sheltered ice-free ground rather than building nests from ice.
44,95,Seal Ice Hole,Some seals keep breathing holes open in sea ice.
45,97,Walrus Haul-Out,Walruses rest together on beaches or floating ice called haul-outs.
46,99,Bat Cave,Many bats roost in caves trees or buildings.
47,101,Owl Tree Hollow,Some owls nest in natural hollows inside trees.
48,103,Squirrel Drey,A squirrel's leafy tree nest is called a drey.
49,105,Woodpecker Cavity,Woodpeckers carve nest cavities into tree trunks.
50,107,Raccoon Tree Den,Raccoons often sleep in hollow trees or sheltered dens.
51,109,Koala Eucalyptus Tree,Koalas spend much of their lives resting and feeding in eucalyptus trees.
52,111,Orangutan Tree Nest,Orangutans build new sleeping nests from branches and leaves.
53,113,Gorilla Ground Nest,Gorillas make simple sleeping nests from leaves and branches.
54,115,Chimpanzee Tree Nest,Chimpanzees often build sleeping nests high in trees.
55,117,Lion Pride Territory,Lions rest in shaded grassland areas within their pride's territory.
56,119,Elephant Water Hole,Elephants travel to water holes to drink bathe and cool off.
57,121,Giraffe Savanna,Giraffes live in open savannas and woodlands where tall trees grow.
58,123,Camel Desert Shelter,Camels rest in desert shade and are adapted to hot dry habitats.
59,125,Mountain Goat Cliff,Mountain goats live on steep rocky slopes that help protect them from predators.
60,127,Puffin Burrow,Puffins often nest in burrows or rocky crevices near the sea.
