number,interior_page,animal,fact
1,9,American Bison,American bison are the largest land mammals in North America.
2,11,Moose,Moose are the largest members of the deer family.
3,13,Elk,Male elk grow large antlers that are shed and regrown each year.
4,15,White-Tailed Deer,White-tailed deer raise their white tails like flags when alarmed.
5,17,Mule Deer,Mule deer have especially large ears that resemble a mule's ears.
6,19,Caribou,Both male and female caribou can grow antlers.
7,21,Pronghorn,Pronghorns are among the fastest land animals in North America.
8,23,Bighorn Sheep,Bighorn sheep have special hooves that help them grip steep rocky slopes.
9,25,Mountain Goat,Mountain goats are strong climbers with rough hoof pads for rocky terrain.
10,27,Musk Ox,Musk oxen have extremely warm underfur called qiviut.
11,29,Grizzly Bear,Grizzly bears have powerful shoulder muscles that help them dig.
12,31,American Black Bear,American black bears can be black, brown, cinnamon, or even nearly white.
13,33,Polar Bear,Polar bears have black skin beneath their thick fur.
14,35,Gray Wolf,Gray wolves live and hunt in family groups called packs.
15,37,Coyote,Coyotes communicate with howls, yips, and barks.
16,39,Red Fox,Red foxes use large ears to pinpoint small animals hidden under grass or snow.
17,41,Arctic Fox,Arctic foxes have fur-covered foot pads that help insulate them from cold ground.
18,43,Bobcat,Bobcats are named for their short bobbed tails.
19,45,Canada Lynx,Canada lynx have large furry paws that act like snowshoes.
20,47,Cougar,Cougars can leap great distances and climb trees easily.
21,49,Wolverine,Wolverines have strong jaws and broad paws for traveling over snow.
22,51,American Badger,American badgers have powerful forelimbs and long claws for digging.
23,53,Striped Skunk,Striped skunks can spray a strong-smelling liquid when threatened.
24,55,North American River Otter,River otters are playful swimmers with webbed feet and streamlined bodies.
25,57,Sea Otter,Sea otters use rocks as tools to open hard-shelled food.
26,59,American Beaver,Beavers build dams that can create ponds and wetlands.
27,61,North American Porcupine,Porcupines are covered with thousands of sharp quills made from modified hairs.
28,63,Raccoon,Raccoons have very sensitive front paws that help them explore objects and food.
29,65,Virginia Opossum,Virginia opossums are North America's only native marsupials north of Mexico.
30,67,Nine-Banded Armadillo,Nine-banded armadillos can jump straight upward when startled.
31,69,Eastern Cottontail,Cottontail rabbits are named for the fluffy white underside of their tails.
32,71,Snowshoe Hare,Snowshoe hares have large furry feet that help them move over snow.
33,73,Black-Tailed Prairie Dog,Prairie dogs live in large burrow systems sometimes called towns.
34,75,American Pika,Pikas collect grasses and flowers into hay piles for winter food.
35,77,Eastern Gray Squirrel,Gray squirrels bury nuts and sometimes forget them, helping new trees grow.
36,79,American Red Squirrel,Red squirrels often store cones in piles called middens.
37,81,Groundhog,Groundhogs are large squirrels that dig deep burrows.
38,83,American Marten,American martens are agile forest mammals that climb trees well.
39,85,Fisher,Fishers are forest-dwelling relatives of weasels and are excellent climbers.
40,87,Ringtail,Ringtails have long striped tails and are nimble climbers of rocky cliffs and trees.
41,89,Bald Eagle,Bald eagles build some of the largest bird nests in North America.
42,91,Golden Eagle,Golden eagles use powerful talons to catch prey.
43,93,Great Horned Owl,Great horned owls have feather tufts that look like ears.
44,95,Snowy Owl,Snowy owls have thick feathers that cover even their legs and feet.
45,97,Wild Turkey,Wild turkeys can fly short distances despite spending much of their time on the ground.
46,99,Sandhill Crane,Sandhill cranes perform energetic dancing displays with jumps and bows.
47,101,Whooping Crane,Whooping cranes are among the tallest birds in North America.
48,103,American Flamingo,American flamingos get their pink color from pigments in the food they eat.
49,105,Brown Pelican,Brown pelicans often plunge-dive from the air to catch fish.
50,107,Atlantic Puffin,Puffins use their wings to swim underwater.
51,109,Common Loon,Loons are excellent divers with legs set far back on their bodies.
52,111,Greater Roadrunner,Greater roadrunners can run quickly and often hunt lizards, insects, and small snakes.
53,113,American Alligator,Alligators use powerful tails to swim through water.
54,115,Gila Monster,Gila monsters are venomous lizards with bead-like scales.
55,117,Desert Tortoise,Desert tortoises spend much of their lives in underground burrows.
56,119,Common Snapping Turtle,Snapping turtles have strong jaws and long tails.
57,121,Bullfrog,American bullfrogs are large frogs with deep booming calls.
58,123,Hellbender,Hellbenders are giant salamanders that live in cool fast-moving streams.
59,125,Monarch Butterfly,Monarch butterflies can migrate thousands of miles between North America and Mexico.
60,127,American Lobster,American lobsters have large claws and live on the rocky seafloor of the North Atlantic.
