number,interior_page,animal,fact
1,9,Calf,A calf is a young cow.
2,11,Foal,A foal is a young horse.
3,13,Piglet,A piglet is a young pig.
4,15,Lamb,A lamb is a young sheep.
5,17,Kid,A kid is a young goat.
6,19,Chick,A chick is a young chicken.
7,21,Duckling,A duckling is a young duck.
8,23,Gosling,A gosling is a young goose.
9,25,Bunny,A baby rabbit is often called a bunny or kit.
10,27,Kitten,A kitten is a young cat.
11,29,Puppy,A puppy is a young dog.
12,31,Fawn,A fawn is a young deer.
13,33,Cub Lion,Lion cubs are born with spotted coats that fade as they grow.
14,35,Cub Tiger,Tiger cubs stay with their mother while they learn to hunt.
15,37,Cub Bear,Bear cubs are born very small compared with adult bears.
16,39,Elephant Calf,Elephant calves use their trunks more skillfully as they grow.
17,41,Giraffe Calf,Giraffe calves can stand and walk soon after birth.
18,43,Zebra Foal,Zebra foals can recognize their mothers by stripe patterns and scent.
19,45,Rhino Calf,Rhino calves stay close to their mothers for protection.
20,47,Hippo Calf,Hippo calves can nurse underwater.
21,49,Kangaroo Joey,A baby kangaroo is called a joey.
22,51,Koala Joey,Koala joeys spend months developing inside their mother's pouch.
23,53,Wallaby Joey,Wallaby joeys also grow in a pouch.
24,55,Wombat Joey,Wombat joeys live in a backward-facing pouch.
25,57,Penguin Chick,Penguin chicks are covered in soft down feathers.
26,59,Owl Chick,Baby owls are called owlets.
27,61,Eaglet,A young eagle is called an eaglet.
28,63,Flamingo Chick,Flamingo chicks are born with gray or white down.
29,65,Puffin Chick,A baby puffin is called a puffling.
30,67,Seal Pup,Young seals are called pups.
31,69,Sea Lion Pup,Sea lion pups can recognize their mothers by calls.
32,71,Dolphin Calf,Dolphin calves swim beside their mothers from birth.
33,73,Whale Calf,Whale calves drink rich milk from their mothers.
34,75,Orca Calf,Orca calves stay with family groups called pods.
35,77,Shark Pup,Many young sharks are called pups.
36,79,Sea Turtle Hatchling,Sea turtle hatchlings crawl toward the ocean after leaving the nest.
37,81,Crocodile Hatchling,Crocodile mothers may help hatchlings reach the water.
38,83,Alligator Hatchling,Young alligators often stay near their mother.
39,85,Snake Hatchling,Some baby snakes hatch from eggs ready to move on their own.
40,87,Lizard Hatchling,Many young lizards look like tiny versions of adults.
41,89,Froglet,A froglet is a young frog that has recently grown legs.
42,91,Tadpole,Tadpoles are the aquatic young of frogs and toads.
43,93,Axolotl Juvenile,Young axolotls keep feathery external gills.
44,95,Monkey Infant,Baby monkeys cling to their mothers for safety.
45,97,Gorilla Infant,Gorilla infants ride on their mothers as they grow.
46,99,Chimpanzee Infant,Young chimpanzees learn by watching older group members.
47,101,Orangutan Infant,Orangutan young stay with their mothers for many years.
48,103,Meerkat Pup,Baby meerkats are called pups.
49,105,Otter Pup,Otter pups learn to swim as they grow.
50,107,Fox Kit,A young fox is called a kit or cub.
51,109,Wolf Pup,Wolf pups are raised by members of the pack.
52,111,Coyote Pup,Coyote pups are born in sheltered dens.
53,113,Raccoon Kit,Young raccoons often stay with their mother for many months.
54,115,Hedgehog Hoglet,A baby hedgehog is called a hoglet.
55,117,Squirrel Kit,Baby squirrels are born hairless and helpless.
56,119,Bat Pup,A baby bat is called a pup.
57,121,Porcupette,A baby porcupine is called a porcupette.
58,123,Llama Cria,A baby llama is called a cria.
59,125,Alpaca Cria,A baby alpaca is also called a cria.
60,127,Camel Calf,Camel calves can stand and walk not long after birth.
