number,interior_page,batch,subject,expected_filename,status,qa_status
1,9,B011,Red Fox,01_red_fox.png,Queued,Not Reviewed
2,11,B011,Gray Wolf,02_gray_wolf.png,Queued,Not Reviewed
3,13,B011,American Black Bear,03_american_black_bear.png,Queued,Not Reviewed
4,15,B011,Brown Bear,04_brown_bear.png,Queued,Not Reviewed
5,17,B011,White-Tailed Deer,05_white_tailed_deer.png,Queued,Not Reviewed
6,19,B011,Moose,06_moose.png,Queued,Not Reviewed
7,21,B011,Elk,07_elk.png,Queued,Not Reviewed
8,23,B011,Wild Boar,08_wild_boar.png,Queued,Not Reviewed
9,25,B011,Raccoon,09_raccoon.png,Queued,Not Reviewed
10,27,B011,Striped Skunk,10_striped_skunk.png,Queued,Not Reviewed
11,29,B011,Virginia Opossum,11_virginia_opossum.png,Queued,Not Reviewed
12,31,B011,North American Porcupine,12_north_american_porcupine.png,Queued,Not Reviewed
13,33,B011,Beaver,13_beaver.png,Queued,Not Reviewed
14,35,B011,North American River Otter,14_north_american_river_otter.png,Queued,Not Reviewed
15,37,B011,American Badger,15_american_badger.png,Queued,Not Reviewed
16,39,B011,Wolverine,16_wolverine.png,Queued,Not Reviewed
17,41,B011,Bobcat,17_bobcat.png,Queued,Not Reviewed
18,43,B011,Canada Lynx,18_canada_lynx.png,Queued,Not Reviewed
19,45,B011,Coyote,19_coyote.png,Queued,Not Reviewed
20,47,B011,Red Squirrel,20_red_squirrel.png,Queued,Not Reviewed
21,49,B011,Eastern Gray Squirrel,21_eastern_gray_squirrel.png,Queued,Not Reviewed
22,51,B011,Flying Squirrel,22_flying_squirrel.png,Queued,Not Reviewed
23,53,B011,Eastern Chipmunk,23_eastern_chipmunk.png,Queued,Not Reviewed
24,55,B011,Snowshoe Hare,24_snowshoe_hare.png,Queued,Not Reviewed
25,57,B011,Eastern Cottontail,25_eastern_cottontail.png,Queued,Not Reviewed
26,59,B011,European Hedgehog,26_european_hedgehog.png,Queued,Not Reviewed
27,61,B011,Common Dormouse,27_common_dormouse.png,Queued,Not Reviewed
28,63,B011,Pine Marten,28_pine_marten.png,Queued,Not Reviewed
29,65,B011,Stoat,29_stoat.png,Queued,Not Reviewed
30,67,B011,European Badger,30_european_badger.png,Queued,Not Reviewed
31,69,B012,Great Horned Owl,31_great_horned_owl.png,Queued,Not Reviewed
32,71,B012,Barred Owl,32_barred_owl.png,Queued,Not Reviewed
33,73,B012,Great Gray Owl,33_great_gray_owl.png,Queued,Not Reviewed
34,75,B012,Woodpecker,34_woodpecker.png,Queued,Not Reviewed
35,77,B012,Blue Jay,35_blue_jay.png,Queued,Not Reviewed
36,79,B012,Cardinal,36_cardinal.png,Queued,Not Reviewed
37,81,B012,Chickadee,37_chickadee.png,Queued,Not Reviewed
38,83,B012,Nuthatch,38_nuthatch.png,Queued,Not Reviewed
39,85,B012,Wild Turkey,39_wild_turkey.png,Queued,Not Reviewed
40,87,B012,Ruffed Grouse,40_ruffed_grouse.png,Queued,Not Reviewed
41,89,B012,Wood Frog,41_wood_frog.png,Queued,Not Reviewed
42,91,B012,Spotted Salamander,42_spotted_salamander.png,Queued,Not Reviewed
43,93,B012,Box Turtle,43_box_turtle.png,Queued,Not Reviewed
44,95,B012,Garter Snake,44_garter_snake.png,Queued,Not Reviewed
45,97,B012,Green Anole,45_green_anole.png,Queued,Not Reviewed
46,99,B012,Luna Moth,46_luna_moth.png,Queued,Not Reviewed
47,101,B012,Monarch Butterfly,47_monarch_butterfly.png,Queued,Not Reviewed
48,103,B012,Stag Beetle,48_stag_beetle.png,Queued,Not Reviewed
49,105,B012,Firefly,49_firefly.png,Queued,Not Reviewed
50,107,B012,Praying Mantis,50_praying_mantis.png,Queued,Not Reviewed
51,109,B012,Banana Slug,51_banana_slug.png,Queued,Not Reviewed
52,111,B012,Snail,52_snail.png,Queued,Not Reviewed
53,113,B012,Earthworm,53_earthworm.png,Queued,Not Reviewed
54,115,B012,Red-Eared Bat,54_red_eared_bat.png,Queued,Not Reviewed
55,117,B012,Little Brown Bat,55_little_brown_bat.png,Queued,Not Reviewed
56,119,B012,Wood Mouse,56_wood_mouse.png,Queued,Not Reviewed
57,121,B012,Field Vole,57_field_vole.png,Queued,Not Reviewed
58,123,B012,Forest Snail,58_forest_snail.png,Queued,Not Reviewed
59,125,B012,Spring Peeper,59_spring_peeper.png,Queued,Not Reviewed
60,127,B012,Forest Raven,60_forest_raven.png,Queued,Not Reviewed
