number,interior_page,animal,fact
1,9,Green Iguana,Green iguanas are strong climbers and have long tails that help with balance.
2,11,Marine Iguana,Marine iguanas are the only modern lizards that regularly feed in the ocean.
3,13,Veiled Chameleon,Chameleons can move their eyes independently and shoot out long sticky tongues.
4,15,Panther Chameleon,Panther chameleons can display many bright color patterns.
5,17,Bearded Dragon,Bearded dragons can puff up the spiny skin under their throats.
6,19,Komodo Dragon,Komodo dragons are the largest living lizards.
7,21,Gila Monster,Gila monsters are venomous lizards that store fat in their thick tails.
8,23,Leopard Gecko,Leopard geckos have movable eyelids and can shed their tails to escape danger.
9,25,Crested Gecko,Crested geckos have ridges above their eyes that look like tiny eyelashes.
10,27,Tokay Gecko,Tokay geckos are large colorful geckos known for loud calls.
11,29,Blue-Tongued Skink,Blue-tongued skinks flash their bright blue tongues when threatened.
12,31,Green Anole,Green anoles can change between green and brown shades.
13,33,Frilled Lizard,Frilled lizards can spread a large skin frill around their necks.
14,35,Common Basilisk,Basilisk lizards can sprint across the surface of water for short distances.
15,37,Thorny Devil,Thorny devils are covered in spikes and collect moisture between the scales of their skin.
16,39,Nile Monitor,"Monitor lizards are active hunters with long necks, strong tails, and forked tongues."
17,41,Corn Snake,Corn snakes are nonvenomous snakes that kill prey by constriction.
18,43,Ball Python,Ball pythons may curl into a tight ball when frightened.
19,45,King Cobra,King cobras are the longest venomous snakes in the world.
20,47,Western Diamondback Rattlesnake,Rattlesnakes shake special tail segments to make a warning buzz.
21,49,Boa Constrictor,Boa constrictors wrap their muscular bodies around prey.
22,51,Green Anaconda,Green anacondas are among the heaviest snakes in the world.
23,53,Garter Snake,Garter snakes are widespread snakes that often live near gardens and wetlands.
24,55,Milk Snake,"Milk snakes are nonvenomous and often have bold bands of red, black, and pale colors."
25,57,Hognose Snake,Hognose snakes have upturned snouts that help them dig in loose soil.
26,59,Black Mamba,Black mambas are fast venomous snakes native to parts of Africa.
27,61,Reticulated Python,Reticulated pythons are among the longest snakes in the world.
28,63,Yellow-Bellied Sea Snake,Sea snakes have flattened tails that help them swim.
29,65,Nile Crocodile,Nile crocodiles are powerful predators that live in African rivers and lakes.
30,67,American Alligator,American alligators build nests from plants and mud.
31,69,Gharial,Gharials have very long narrow snouts adapted for catching fish.
32,71,Spectacled Caiman,Spectacled caimans get their name from a raised ridge between their eyes.
33,73,Green Sea Turtle,Green sea turtles migrate long distances between feeding and nesting areas.
34,75,Loggerhead Sea Turtle,Loggerheads have large heads and strong jaws that can crush hard-shelled prey.
35,77,Leatherback Sea Turtle,Leatherbacks are the largest sea turtles and have flexible leathery shells.
36,79,Red-Eared Slider,Red-eared sliders are named for the red patches behind their eyes.
37,81,Eastern Box Turtle,Box turtles can close their hinged lower shells tightly for protection.
38,83,Common Snapping Turtle,Snapping turtles have strong jaws and long tails.
39,85,Galápagos Tortoise,Galápagos tortoises can live for well over a century.
40,87,African Spurred Tortoise,African spurred tortoises are large desert tortoises that dig deep burrows.
41,89,Poison Dart Frog,Some poison dart frogs get defensive chemicals from the foods they eat in the wild.
42,91,Green Tree Frog,Tree frogs have toe pads that help them cling to leaves and branches.
43,93,American Bullfrog,Bullfrogs are large frogs with deep calls that can carry across ponds.
44,95,Glass Frog,Many glass frogs have partly transparent skin on their undersides.
45,97,Red-Eyed Tree Frog,Red-eyed tree frogs have bright red eyes and sticky toe pads.
46,99,Tomato Frog,Tomato frogs can puff up their round bodies when threatened.
47,101,Horned Frog,Horned frogs have wide mouths and sit quietly while waiting for prey.
48,103,Northern Leopard Frog,Leopard frogs are named for the dark spots across their backs and legs.
49,105,American Toad,Toads have bumpy skin and produce defensive chemicals from glands behind their eyes.
50,107,Cane Toad,Cane toads are large toads with strong defensive glands.
51,109,Fire-Bellied Toad,Fire-bellied toads show bright belly colors as a warning to predators.
52,111,Axolotl,Axolotls keep their feathery external gills as adults.
53,113,Tiger Salamander,Tiger salamanders spend much of their lives hidden underground.
54,115,Fire Salamander,Fire salamanders have striking yellow markings on dark skin.
55,117,Eastern Newt,Eastern newts have a bright orange juvenile stage called a red eft.
56,119,Olm,Olms are pale cave-dwelling amphibians that can live in complete darkness.
57,121,Mudpuppy,Mudpuppies are aquatic salamanders that keep external gills throughout life.
58,123,Caecilian,Caecilians are limbless amphibians that look a little like large worms.
59,125,Greater Siren,Sirens are eel-shaped amphibians with tiny front legs and no hind legs.
60,127,Hellbender,Hellbenders are giant aquatic salamanders that hide beneath rocks in cool streams.
