number,interior_page,animal,fact
1,9,Amur Leopard,Amur leopards have thick coats that help them survive cold winters.
2,11,Javan Rhino,Javan rhinos have a single horn and live in dense tropical forest.
3,13,Sumatran Rhino,Sumatran rhinos are the smallest living rhinoceroses and are covered with sparse hair.
4,15,Black Rhino,Black rhinos use a pointed upper lip to pull leaves and twigs from plants.
5,17,White Rhino,White rhinos have broad square lips that are well suited for grazing on grass.
6,19,African Forest Elephant,African forest elephants have straighter tusks and rounder ears than savanna elephants.
7,21,African Savanna Elephant,African savanna elephants are the largest land animals alive today.
8,23,Asian Elephant,Asian elephants have smaller ears than African elephants and a single finger-like tip on the trunk.
9,25,Sumatran Elephant,Sumatran elephants live on the Indonesian island of Sumatra.
10,27,Mountain Gorilla,Mountain gorillas have thick fur that helps keep them warm in cool mountain forests.
11,29,Cross River Gorilla,Cross River gorillas live in forested mountains along the Nigeria-Cameroon border.
12,31,Western Lowland Gorilla,Western lowland gorillas eat fruit, leaves, stems, and other plant foods.
13,33,Bornean Orangutan,Bornean orangutans spend much of their time in trees and use very long arms for climbing.
14,35,Sumatran Orangutan,Sumatran orangutans build leafy sleeping nests high in trees.
15,37,Tapanuli Orangutan,Tapanuli orangutans live in a small forest region on the island of Sumatra.
16,39,Bonobo,Bonobos live only in the Democratic Republic of the Congo and are closely related to chimpanzees.
17,41,Chimpanzee,Chimpanzees can use sticks and other simple tools to find food.
18,43,Golden Lion Tamarin,Golden lion tamarins have bright golden-orange fur and live in Brazil's Atlantic Forest.
19,45,Cotton-Top Tamarin,Cotton-top tamarins have a distinctive crest of long white hair on their heads.
20,47,Philippine Tarsier,Philippine tarsiers have huge eyes that help them hunt insects at night.
21,49,Red Panda,Red pandas use bushy tails for balance and to help keep warm.
22,51,Giant Panda,Giant pandas use strong jaws and wrist bones adapted like thumbs to hold bamboo.
23,53,Snow Leopard,Snow leopards have long thick tails that help them balance on steep rocky slopes.
24,55,Tiger,Tigers have striped coats and no two stripe patterns are exactly alike.
25,57,Sumatran Tiger,Sumatran tigers are smaller than many mainland tiger populations and live on Sumatra.
26,59,Malayan Tiger,Malayan tigers live in tropical forests on the Malay Peninsula.
27,61,Iberian Lynx,Iberian lynx have tufted ears and mainly hunt rabbits.
28,63,Ethiopian Wolf,Ethiopian wolves live in high mountain grasslands and often hunt small rodents.
29,65,African Wild Dog,African wild dogs have unique patchy coats and live in highly social packs.
30,67,Dhole,Dholes are social wild dogs from Asia that communicate with whistles.
31,69,Addax,Addax are desert antelope with twisted horns and broad hooves for walking on sand.
32,71,Saiga,Saiga antelope have unusual flexible noses that help filter dust and warm cold air.
33,73,Przewalski's Horse,Przewalski's horses have stocky bodies and upright dark manes.
34,75,Grevy's Zebra,Grevy's zebras have narrow stripes and large rounded ears.
35,77,Okapi,Okapis have striped legs and are close relatives of giraffes.
36,79,Pygmy Hippo,Pygmy hippos are smaller forest-dwelling relatives of common hippos.
37,81,Bactrian Camel,Wild Bactrian camels have two humps and can survive extreme desert conditions.
38,83,Asian Tapir,Asian tapirs have a bold black-and-white body pattern and a short flexible snout.
39,85,Malayan Pangolin,Malayan pangolins are covered in protective scales and curl into a ball when threatened.
40,87,Chinese Pangolin,Chinese pangolins use long sticky tongues to collect ants and termites.
41,89,African Penguin,African penguins make braying calls that can sound a little like donkeys.
42,91,Yellow-Eyed Penguin,Yellow-eyed penguins have pale yellow eyes and a yellow band of feathers around the head.
43,93,Kakapo,Kakapos are heavy flightless parrots that are active mostly at night.
44,95,California Condor,California condors have enormous wings that help them soar for long distances.
45,97,Philippine Eagle,Philippine eagles have powerful feet and a shaggy crest of feathers.
46,99,Whooping Crane,Whooping cranes are tall white birds with long legs and long necks.
47,101,Spoon-Billed Sandpiper,Spoon-billed sandpipers have small bills with spoon-shaped tips.
48,103,Hawksbill Sea Turtle,Hawksbill sea turtles have narrow pointed beaks that help them feed among coral reefs.
49,105,Green Sea Turtle,Green sea turtles are mostly plant eaters as adults and graze on seagrasses and algae.
50,107,Leatherback Sea Turtle,Leatherbacks are the largest sea turtles and have flexible leathery shells.
51,109,Vaquita,Vaquitas are small porpoises with dark markings around their eyes and mouths.
52,111,North Atlantic Right Whale,North Atlantic right whales have rough white patches called callosities on their heads.
53,113,Blue Whale,Blue whales are the largest animals known to have lived on Earth.
54,115,Whale Shark,Whale sharks are huge filter-feeding sharks with spotted skin.
55,117,Great Hammerhead Shark,Great hammerhead sharks have wide hammer-shaped heads that hold their eyes far apart.
56,119,Sawfish,Sawfish have long flat snouts edged with tooth-like structures.
57,121,Axolotl,Wild axolotls are salamanders that keep feathery external gills throughout life.
58,123,Chinese Giant Salamander,Chinese giant salamanders are among the largest amphibians in the world.
59,125,Gharial,Gharials have very long narrow snouts adapted for catching fish.
60,127,Siamese Crocodile,Siamese crocodiles are freshwater crocodiles from Southeast Asia.
