number,interior_page,animal,fact
1,9,American Robin,Robins often tug earthworms from lawns and gardens.
2,11,Northern Cardinal,Male northern cardinals are bright red while females are mostly brown with red accents.
3,13,Blue Jay,Blue jays can copy some hawk calls and other sounds.
4,15,House Sparrow,House sparrows often live close to people and nest in buildings.
5,17,House Finch,House finches commonly visit backyard seed feeders.
6,19,Black-Capped Chickadee,Chickadees hide seeds in many places and can remember where they stored them.
7,21,Tufted Titmouse,Tufted titmice carry seeds away from feeders to eat in safer spots.
8,23,Mourning Dove,Mourning doves make a soft cooing call and often feed on the ground.
9,25,American Goldfinch,Goldfinches eat many seeds from flowers such as sunflowers and thistles.
10,27,Downy Woodpecker,Downy woodpeckers are small woodpeckers that often visit suet feeders.
11,29,Red-Bellied Woodpecker,Red-bellied woodpeckers store nuts and seeds in cracks in bark.
12,31,White-Breasted Nuthatch,Nuthatches can climb headfirst down tree trunks.
13,33,Carolina Wren,Carolina wrens have loud songs even though they are small birds.
14,35,Ruby-Throated Hummingbird,Hummingbirds can hover by beating their wings very quickly.
15,37,European Starling,Starlings can imitate many sounds from their surroundings.
16,39,Gray Squirrel,Gray squirrels bury nuts and may help plant new trees.
17,41,Red Squirrel,Red squirrels often store cones and seeds for later.
18,43,Eastern Chipmunk,Chipmunks carry food in stretchy cheek pouches.
19,45,Eastern Cottontail,Eastern cottontails use quick zigzag running to escape danger.
20,47,Raccoon,Raccoons have very sensitive front paws that help them explore objects.
21,49,Striped Skunk,Skunks can spray a strong-smelling liquid to defend themselves.
22,51,Virginia Opossum,Opossums are North America's only native marsupials.
23,53,Groundhog,Groundhogs are large ground squirrels that dig extensive burrows.
24,55,Little Brown Bat,Little brown bats can catch many flying insects at night.
25,57,Big Brown Bat,Big brown bats use echolocation to navigate and find insects.
26,59,White-Footed Mouse,White-footed mice often gather seeds and nuts at night.
27,61,Meadow Vole,Meadow voles make little runways through grass.
28,63,Short-Tailed Shrew,Shrews have very fast metabolisms and must eat often.
29,65,Five-Lined Skink,Young five-lined skinks often have bright blue tails.
30,67,Eastern Fence Lizard,Fence lizards like to bask on sunny logs and fences.
31,69,Garter Snake,Garter snakes are common harmless snakes in many yards and gardens.
32,71,Ring-Necked Snake,Ring-necked snakes are small and often hide beneath logs or stones.
33,73,Eastern Box Turtle,Box turtles can pull their head and legs inside and close their hinged shell.
34,75,American Toad,American toads help gardens by eating many insects and other small creatures.
35,77,Green Frog,Green frogs often live near ponds and make a twang-like call.
36,79,Spring Peeper,Spring peepers are tiny frogs known for loud springtime calls.
37,81,Garden Snail,Garden snails move on a muscular foot and leave behind a trail of slime.
38,83,Earthworm,Earthworms help mix soil as they burrow underground.
39,85,Monarch Butterfly,Monarch butterflies migrate long distances between seasonal habitats.
40,87,Eastern Tiger Swallowtail,Eastern tiger swallowtails are large butterflies with long tail-like tips on their hindwings.
41,89,Cabbage White Butterfly,Cabbage white butterflies are common around gardens and open areas.
42,91,Luna Moth,Luna moths are large green moths with long tails on their hindwings.
43,93,Firefly,Fireflies produce light with a chemical reaction in their bodies.
44,95,Ladybug,Ladybugs eat aphids and other tiny plant pests.
45,97,Praying Mantis,Praying mantises use powerful front legs to catch prey.
46,99,Dragonfly,Dragonflies are skilled fliers that catch other insects in the air.
47,101,Bumblebee,Bumblebees can vibrate flowers to shake loose pollen.
48,103,Honey Bee,Honey bees communicate food locations with special dances.
49,105,Carpenter Bee,Carpenter bees chew tunnels in wood where they make nests.
50,107,Paper Wasp,Paper wasps build open nests from chewed wood fibers mixed with saliva.
51,109,Grasshopper,Grasshoppers jump with strong back legs.
52,111,Cricket,Crickets make chirping sounds by rubbing parts of their wings together.
53,113,Katydid,Katydids are often green and can blend in with leaves.
54,115,Stag Beetle,Stag beetles are named for the large antler-like jaws of some males.
55,117,Orb-Weaver Spider,Orb-weaver spiders build round wheel-shaped webs.
56,119,Jumping Spider,Jumping spiders have excellent eyesight and can leap onto prey.
57,121,Garden Spider,Garden spiders build large webs between tall plants.
58,123,Millipede,Millipedes have many body segments with two pairs of legs on most segments.
59,125,Centipede,Centipedes have one pair of legs on each body segment.
60,127,Pill Bug,Pill bugs are crustaceans that can roll into a ball when disturbed.
