number,interior_page,batch,subject,expected_filename,fact
1,9,B009,African Lion,01_african_lion.png,Lions are the only cats that regularly live in social groups called prides.
2,11,B009,African Elephant,02_african_elephant.png,African elephants are the largest living land animals.
3,13,B009,Giraffe,03_giraffe.png,Giraffes use their long necks to reach leaves high in trees.
4,15,B009,Plains Zebra,04_plains_zebra.png,Each zebra has a unique pattern of stripes.
5,17,B009,Cheetah,05_cheetah.png,Cheetahs are the fastest land animals over short distances.
6,19,B009,Leopard,06_leopard.png,Leopards are strong climbers and often rest in trees.
7,21,B009,White Rhinoceros,07_white_rhinoceros.png,White rhinos have wide square lips that help them graze on grass.
8,23,B009,Black Rhinoceros,08_black_rhinoceros.png,Black rhinos use pointed upper lips to grasp leaves and twigs.
9,25,B009,Hippopotamus,09_hippopotamus.png,Hippos spend much of the day in water to stay cool.
10,27,B009,African Buffalo,10_african_buffalo.png,African buffalo often travel in large herds for protection.
11,29,B009,Blue Wildebeest,11_blue_wildebeest.png,Wildebeest can travel long distances while following seasonal rains.
12,31,B009,Thomson's Gazelle,12_thomsons_gazelle.png,Thomson's gazelles are quick runners that live on open grasslands.
13,33,B009,Grant's Gazelle,13_grants_gazelle.png,Grant's gazelles can go for long periods without drinking free-standing water.
14,35,B009,Impala,14_impala.png,Impalas can leap high and far to escape danger.
15,37,B009,Greater Kudu,15_greater_kudu.png,Greater kudus have large ears and males grow spiral horns.
16,39,B009,Eland,16_eland.png,Elands are the largest living antelopes.
17,41,B009,Gemsbok,17_gemsbok.png,Gemsbok have long straight horns and are well adapted to dry habitats.
18,43,B009,Sable Antelope,18_sable_antelope.png,Sable antelopes have curved horns and strong necks.
19,45,B009,Waterbuck,19_waterbuck.png,Waterbucks are often found near rivers and lakes.
20,47,B009,Springbok,20_springbok.png,Springboks can make high stiff-legged jumps called pronking.
21,49,B009,Common Warthog,21_common_warthog.png,Warthogs often kneel on their front legs while grazing.
22,51,B009,African Wild Dog,22_african_wild_dog.png,African wild dogs live in close-knit packs and hunt cooperatively.
23,53,B009,Spotted Hyena,23_spotted_hyena.png,Spotted hyenas have powerful jaws and live in groups called clans.
24,55,B009,Striped Hyena,24_striped_hyena.png,Striped hyenas are mostly active at night.
25,57,B009,Jackal,25_jackal.png,Jackals are adaptable canids that eat many different kinds of food.
26,59,B009,Meerkat,26_meerkat.png,Meerkats take turns watching for danger while others forage.
27,61,B009,Mongoose,27_mongoose.png,Mongooses are quick predators that eat insects and other small animals.
28,63,B009,Aardvark,28_aardvark.png,Aardvarks use strong claws to dig for ants and termites.
29,65,B009,Porcupine,29_porcupine.png,Porcupines protect themselves with sharp quills.
30,67,B009,Baboon,30_baboon.png,Baboons live in social groups and communicate with many sounds and gestures.
31,69,B010,Vervet Monkey,31_vervet_monkey.png,Vervet monkeys use different alarm calls for different predators.
32,71,B010,Colobus Monkey,32_colobus_monkey.png,Colobus monkeys spend much of their time in trees and eat many leaves.
33,73,B010,Ostrich,33_ostrich.png,Ostriches are the largest living birds and can run very fast.
34,75,B010,Secretary Bird,34_secretary_bird.png,Secretary birds hunt snakes and other small animals on the ground.
35,77,B010,Crowned Crane,35_crowned_crane.png,Crowned cranes have a distinctive crown of golden feathers.
36,79,B010,Marabou Stork,36_marabou_stork.png,Marabou storks have huge wings and often soar on warm air currents.
37,81,B010,African Fish Eagle,37_african_fish_eagle.png,African fish eagles catch fish with powerful talons.
38,83,B010,Helmeted Guineafowl,38_helmeted_guineafowl.png,Helmeted guineafowl travel in flocks and make loud calls.
39,85,B010,Shoebill,39_shoebill.png,Shoebills have enormous shoe-shaped bills for catching fish.
40,87,B010,Flamingo,40_flamingo.png,Flamingos get pink coloring from pigments in the food they eat.
41,89,B010,Nile Crocodile,41_nile_crocodile.png,Nile crocodiles are powerful swimmers that spend much of their lives near water.
42,91,B010,African Rock Python,42_african_rock_python.png,African rock pythons kill prey by constriction rather than venom.
43,93,B010,Black Mamba,43_black_mamba.png,Black mambas are fast snakes that usually try to avoid people.
44,95,B010,Puff Adder,44_puff_adder.png,Puff adders rely on camouflage and often remain still when threatened.
45,97,B010,African Spurred Tortoise,45_african_spurred_tortoise.png,African spurred tortoises dig burrows to escape extreme heat.
46,99,B010,Nile Monitor,46_nile_monitor.png,Nile monitors are large lizards that can swim well.
47,101,B010,Chameleon,47_chameleon.png,Chameleons can move their eyes independently and shoot out long sticky tongues.
48,103,B010,Agama Lizard,48_agama_lizard.png,Many male agamas develop bright colors during breeding season.
49,105,B010,Dung Beetle,49_dung_beetle.png,Dung beetles help recycle nutrients by burying animal droppings.
50,107,B010,Termite,50_termite.png,Termites build large colonies and help break down dead plant material.
51,109,B010,Tsetse Fly,51_tsetse_fly.png,Tsetse flies are found in parts of sub-Saharan Africa and feed on blood.
52,111,B010,Acacia Ant,52_acacia_ant.png,Some ants live in acacia trees and help defend the trees from herbivores.
53,113,B010,Honey Badger,53_honey_badger.png,Honey badgers are strong diggers and are known for bold behavior.
54,115,B010,Bat-Eared Fox,54_bat_eared_fox.png,Bat-eared foxes use their huge ears to locate insects underground.
55,117,B010,Serval,55_serval.png,Servals have long legs and large ears that help them hunt in tall grass.
56,119,B010,Caracal,56_caracal.png,Caracals can leap high into the air to catch birds.
57,121,B010,Genet,57_genet.png,Genets are agile nocturnal mammals with long tails.
58,123,B010,Okapi,58_okapi.png,Okapis are relatives of giraffes and have striped legs.
59,125,B010,Greater Flamingo,59_greater_flamingo.png,Greater flamingos use special bills to filter tiny food from water.
60,127,B010,Pangolin,60_pangolin.png,Pangolins are mammals covered in protective keratin scales.
