page,content
1,Title page
2,Copyright - MIST°
3,This Book Belongs To
4,Welcome to Your Animal Adventure
5,Coloring Tips
6,Color Test Page
7,Animal Adventure Checklist
8,Blank
9,Mountain Goat
10,Blank reverse
11,Bighorn Sheep
12,Blank reverse
13,Dall Sheep
14,Blank reverse
15,Alpine Ibex
16,Blank reverse
17,Nubian Ibex
18,Blank reverse
19,Himalayan Tahr
20,Blank reverse
21,Markhor
22,Blank reverse
23,Chamois
24,Blank reverse
25,Tibetan Antelope
26,Blank reverse
27,Yak
28,Blank reverse
29,Musk Deer
30,Blank reverse
31,Red Deer
32,Blank reverse
33,Elk
34,Blank reverse
35,Moose
36,Blank reverse
37,Pronghorn
38,Blank reverse
39,American Pika
40,Blank reverse
41,Alpine Marmot
42,Blank reverse
43,Hoary Marmot
44,Blank reverse
45,Yellow-Bellied Marmot
46,Blank reverse
47,Mountain Hare
48,Blank reverse
49,Snowshoe Hare
50,Blank reverse
51,Rock Hyrax
52,Blank reverse
53,Snow Leopard
54,Blank reverse
55,Cougar
56,Blank reverse
57,Canada Lynx
58,Blank reverse
59,Eurasian Lynx
60,Blank reverse
61,Pallas's Cat
62,Blank reverse
63,Andean Mountain Cat
64,Blank reverse
65,Brown Bear
66,Blank reverse
67,American Black Bear
68,Blank reverse
69,Spectacled Bear
70,Blank reverse
71,Gray Wolf
72,Blank reverse
73,Red Fox
74,Blank reverse
75,Coyote
76,Blank reverse
77,Andean Fox
78,Blank reverse
79,Golden Eagle
80,Blank reverse
81,Bald Eagle
82,Blank reverse
83,Bearded Vulture
84,Blank reverse
85,Andean Condor
86,Blank reverse
87,Himalayan Griffon
88,Blank reverse
89,Himalayan Snowcock
90,Blank reverse
91,Snowy Owl
92,Blank reverse
93,White-Tailed Ptarmigan
94,Blank reverse
95,Rock Ptarmigan
96,Blank reverse
97,Himalayan Monal
98,Blank reverse
99,Golden Pheasant
100,Blank reverse
101,Wallcreeper
102,Blank reverse
103,Alpine Chough
104,Blank reverse
105,Clark's Nutcracker
106,Blank reverse
107,Mountain Bluebird
108,Blank reverse
109,Rocky Mountain Toad
110,Blank reverse
111,Mountain Yellow-Legged Frog
112,Blank reverse
113,Alpine Newt
114,Blank reverse
115,European Adder
116,Blank reverse
117,Rock Rattlesnake
118,Blank reverse
119,Himalayan Pit Viper
120,Blank reverse
121,Viviparous Lizard
122,Blank reverse
123,Mountain Stream Salamander
124,Blank reverse
125,Apollo Butterfly
126,Blank reverse
127,Mountain Bumblebee
128,Blank reverse
