number,interior_page,animal,fact
1,9,Mountain Goat,Mountain goats have rubbery hoof pads that help them grip steep rock.
2,11,Bighorn Sheep,Bighorn sheep use powerful legs to climb rocky slopes.
3,13,Dall Sheep,Dall sheep have white coats that blend into snowy mountain landscapes.
4,15,Alpine Ibex,Alpine ibex are wild goats with long curved horns.
5,17,Nubian Ibex,Nubian ibex live on steep rocky mountains in dry regions.
6,19,Himalayan Tahr,Himalayan tahrs are sure-footed hoofed mammals with thick coats.
7,21,Markhor,Markhors are wild goats with dramatic spiral horns.
8,23,Chamois,Chamois are agile mountain animals related to goats and antelopes.
9,25,Tibetan Antelope,Tibetan antelope live on high cold plateaus.
10,27,Yak,Domestic and wild yaks have thick coats for cold high-altitude environments.
11,29,Musk Deer,Musk deer have long canine teeth instead of antlers.
12,31,Red Deer,Red deer live in forests and mountain valleys in many regions.
13,33,Elk,Elk often move between mountain meadows and forests.
14,35,Moose,Moose can live in cool mountain forests and wetlands.
15,37,Pronghorn,Pronghorns use speed to cross open high plains.
16,39,American Pika,Pikas collect plants into haypiles for winter.
17,41,Alpine Marmot,Alpine marmots live in mountain burrows and hibernate through winter.
18,43,Hoary Marmot,Hoary marmots are large ground squirrels of rocky mountain regions.
19,45,Yellow-Bellied Marmot,These marmots bask on rocks near mountain burrows.
20,47,Mountain Hare,Mountain hares can grow pale winter coats in snowy regions.
21,49,Snowshoe Hare,Snowshoe hares have oversized furry feet that help them move over snow.
22,51,Rock Hyrax,Rock hyraxes live among cliffs and boulders in parts of Africa and the Middle East.
23,53,Snow Leopard,Snow leopards have long tails that help with balance on steep slopes.
24,55,Cougar,Cougars can live in rugged mountains from Canada to South America.
25,57,Canada Lynx,Canada lynx have large paws that help them travel over deep snow.
26,59,Eurasian Lynx,Eurasian lynx live in forests and mountains across Europe and Asia.
27,61,Pallas's Cat,Pallas's cats have dense fur and live in rocky highland habitats.
28,63,Andean Mountain Cat,Andean mountain cats live high in the Andes Mountains.
29,65,Brown Bear,"Brown bears forage in mountain forests, meadows, and river valleys."
30,67,American Black Bear,Black bears can live in wooded mountain regions.
31,69,Spectacled Bear,Spectacled bears live in Andean forests and mountain grasslands.
32,71,Gray Wolf,Wolves can travel long distances through mountain valleys and forests.
33,73,Red Fox,"Red foxes adapt to many habitats, including mountain regions."
34,75,Coyote,Coyotes can live in dry foothills and mountain valleys.
35,77,Andean Fox,Andean foxes live from deserts to high mountain grasslands.
36,79,Golden Eagle,Golden eagles soar over mountains while searching for prey.
37,81,Bald Eagle,Bald eagles often nest near mountain lakes and rivers.
38,83,Bearded Vulture,Bearded vultures are famous for dropping bones onto rocks to break them.
39,85,Andean Condor,Andean condors use rising mountain air to soar with little flapping.
40,87,Himalayan Griffon,Himalayan griffons are huge vultures that soar over high Asian mountains.
41,89,Lammergeier,Lammergeier is another name for the bearded vulture.
42,91,Snowy Owl,Snowy owls can live on cold open highlands as well as Arctic tundra.
43,93,White-Tailed Ptarmigan,White-tailed ptarmigan are birds specialized for high alpine environments.
44,95,Rock Ptarmigan,Rock ptarmigan change plumage color with the seasons.
45,97,Himalayan Monal,Himalayan monals are colorful pheasants of high mountain forests.
46,99,Golden Pheasant,Golden pheasants live in mountainous forests and dense shrublands.
47,101,Wallcreeper,Wallcreepers climb steep rock faces while searching for insects.
48,103,Alpine Chough,Alpine choughs are black mountain birds with bright yellow bills.
49,105,Clark's Nutcracker,Clark's nutcrackers bury pine seeds and remember many of their hiding places.
50,107,Mountain Bluebird,Mountain bluebirds live in open country at high elevations.
51,109,Rocky Mountain Toad,Mountain toads spend cold seasons hidden underground.
52,111,Mountain Yellow-Legged Frog,These frogs live around high mountain lakes and streams.
53,113,Alpine Newt,Alpine newts live in cool ponds and wetlands in mountainous areas.
54,115,European Adder,Adders can live in cool upland and mountain habitats.
55,117,Rock Rattlesnake,Rock rattlesnakes live among rocky canyons and mountain slopes.
56,119,Himalayan Pit Viper,Himalayan pit vipers live in rocky high-elevation habitats.
57,121,Viviparous Lizard,This lizard can give birth to live young and lives in cool northern and mountain regions.
58,123,Mountain Stream Salamander,Many stream salamanders need cool clean mountain water.
59,125,Apollo Butterfly,Apollo butterflies live in sunny mountain meadows.
60,127,Mountain Bumblebee,Some bumblebees are specially adapted to cool high-elevation climates.
