number,interior_page,animal,fact
1,9,Red Fox,Red foxes use their large ears to help locate small animals moving under leaves or snow.
2,11,Gray Wolf,Wolves live and hunt in family groups called packs.
3,13,American Black Bear,Black bears are excellent climbers and can run surprisingly fast.
4,15,Brown Bear,Brown bears can spend many hours searching for berries roots fish and other foods.
5,17,White-Tailed Deer,A white-tailed deer lifts its bright tail as a warning signal when startled.
6,19,Moose,Moose are the largest members of the deer family.
7,21,Elk,Elk can make loud bugling calls that carry across forests and valleys.
8,23,Wild Boar,Wild boars use their strong snouts to dig for roots insects and other food.
9,25,Raccoon,Raccoons have very sensitive front paws that help them explore objects and find food.
10,27,Striped Skunk,Striped skunks can spray a strong-smelling liquid to defend themselves.
11,29,Virginia Opossum,Virginia opossums can use their prehensile tails to help steady themselves while climbing.
12,31,North American Porcupine,Porcupines are covered with sharp quills that help protect them from predators.
13,33,Beaver,Beavers build dams and lodges using branches mud and stones.
14,35,North American River Otter,River otters are playful swimmers with streamlined bodies and strong tails.
15,37,American Badger,Badgers have powerful front claws for digging burrows and searching for prey.
16,39,Wolverine,Wolverines are strong members of the weasel family that live in cold northern forests.
17,41,Bobcat,Bobcats have short tails and tufted ears that help make them easy to recognize.
18,43,Canada Lynx,Canada lynx have large furry paws that act like snowshoes.
19,45,Coyote,Coyotes are adaptable animals that can live in forests grasslands deserts and even near cities.
20,47,Red Squirrel,Red squirrels often store seeds and cones to eat later.
21,49,Eastern Gray Squirrel,Gray squirrels help spread trees when forgotten buried nuts begin to grow.
22,51,Flying Squirrel,Flying squirrels glide between trees using a flap of skin stretched between their legs.
23,53,Eastern Chipmunk,Chipmunks collect seeds in stretchy cheek pouches and carry them back to their burrows.
24,55,Snowshoe Hare,Snowshoe hares have large feet that help them move across deep snow.
25,57,Eastern Cottontail,Cottontail rabbits often freeze in place before suddenly dashing away from danger.
26,59,European Hedgehog,Hedgehogs roll into a tight ball so their spines face outward when threatened.
27,61,Common Dormouse,Dormice can spend long periods sleeping during cold weather.
28,63,Pine Marten,Pine martens are agile tree climbers that hunt and forage in woodland habitats.
29,65,Stoat,A stoat's coat can turn white in winter in colder parts of its range.
30,67,European Badger,European badgers live in underground tunnel systems called setts.
31,69,Great Horned Owl,Great horned owls have large ear-like feather tufts and powerful talons.
32,71,Barred Owl,Barred owls are known for a call that sounds like a repeated question.
33,73,Great Gray Owl,Great gray owls have broad round faces that help direct sound toward their ears.
34,75,Woodpecker,Woodpeckers use strong beaks to drill into wood and find insects.
35,77,Blue Jay,Blue jays can mimic the calls of some hawks.
36,79,Cardinal,Male northern cardinals are famous for their bright red feathers.
37,81,Chickadee,Chickadees hide seeds in many places and can remember where they stored them.
38,83,Nuthatch,Nuthatches can climb headfirst down tree trunks while searching for insects.
39,85,Wild Turkey,Wild turkeys sleep in trees at night to stay safer from many ground predators.
40,87,Ruffed Grouse,Ruffed grouse can beat their wings to make a low drumming sound.
41,89,Wood Frog,Wood frogs can survive part of their body freezing during winter.
42,91,Spotted Salamander,Spotted salamanders spend much of the year hidden under logs leaves or soil.
43,93,Box Turtle,Box turtles have hinged shells that can close tightly for protection.
44,95,Garter Snake,Garter snakes use their tongues to collect scent particles from the air.
45,97,Green Anole,Green anoles can change between shades of green and brown.
46,99,Luna Moth,Luna moths have pale green wings and long tails on their hindwings.
47,101,Monarch Butterfly,Monarch butterflies can travel very long distances during migration.
48,103,Stag Beetle,Stag beetles have large jaws that can look like the antlers of a deer.
49,105,Firefly,Fireflies make light inside their bodies through a chemical reaction.
50,107,Praying Mantis,Praying mantises hold their front legs folded and use them to quickly grab prey.
51,109,Banana Slug,Banana slugs move by gliding on a layer of slime that helps protect their soft bodies.
52,111,Snail,Land snails carry spiral shells and move using a muscular foot.
53,113,Earthworm,Earthworms help improve soil by tunneling and mixing organic material into it.
54,115,Red-Eared Bat,Bats use echolocation to navigate and find insects in the dark.
55,117,Little Brown Bat,Little brown bats can eat many flying insects in a single night.
56,119,Wood Mouse,Wood mice gather seeds berries and nuts on the forest floor.
57,121,Field Vole,Voles make runways through grass and leaves close to the ground.
58,123,Forest Snail,Forest snails prefer damp shady places where they can avoid drying out.
59,125,Spring Peeper,Spring peepers are tiny frogs whose loud calls are often heard near woodland ponds.
60,127,Forest Raven,Ravens are intelligent birds that can solve problems and remember useful places.
