number,interior_page,animal,fact
1,9,Great White Shark,Great white sharks can detect tiny electrical signals made by other animals.
2,11,Whale Shark,Whale sharks are the largest fish in the world and eat mostly tiny plankton.
3,13,Hammerhead Shark,Hammerhead sharks have wide heads that help them sense and locate prey.
4,15,Tiger Shark,Tiger sharks have dark vertical stripes when they are young.
5,17,Bull Shark,Bull sharks can swim in both salt water and fresh water.
6,19,Nurse Shark,Nurse sharks often rest on the seafloor during the day.
7,21,Blacktip Reef Shark,Blacktip reef sharks are named for the dark tips on several of their fins.
8,23,Whitetip Reef Shark,Whitetip reef sharks often rest in caves or under ledges.
9,25,Lemon Shark,Lemon sharks have yellow-brown coloring that helps them blend with sandy water.
10,27,Shortfin Mako Shark,Shortfin mako sharks are among the fastest sharks in the ocean.
11,29,Thresher Shark,Thresher sharks have extremely long upper tail fins.
12,31,Goblin Shark,Goblin sharks have long snouts and jaws that can extend forward quickly.
13,33,Basking Shark,Basking sharks are giant filter feeders that strain plankton from seawater.
14,35,Greenland Shark,Greenland sharks are among the longest-lived vertebrate animals.
15,37,Blue Shark,Blue sharks have slim bodies and long pointed pectoral fins.
16,39,Zebra Shark,Young zebra sharks have stripes while adults develop spots.
17,41,Epaulette Shark,Epaulette sharks can use their fins to walk across shallow reef flats.
18,43,Wobbegong,Wobbegongs are flat bottom-dwelling sharks with camouflage patterns.
19,45,Cookiecutter Shark,Cookiecutter sharks remove small round bites from larger animals.
20,47,Port Jackson Shark,Port Jackson sharks have blunt heads and strong teeth for crushing shellfish.
21,49,Horn Shark,Horn sharks have short blunt heads and spines in front of their dorsal fins.
22,51,Angel Shark,Angel sharks have flattened bodies that make them look a little like rays.
23,53,Sawshark,Sawsharks have long toothed snouts used to help find and stun prey.
24,55,Dogfish Shark,Dogfish sharks are small sharks that often travel in groups.
25,57,Bonnethead Shark,Bonnetheads are small relatives of hammerhead sharks with shovel-shaped heads.
26,59,Silky Shark,Silky sharks are named for the smooth texture of their skin.
27,61,Oceanic Whitetip Shark,Oceanic whitetip sharks have broad rounded fins with pale tips.
28,63,Spinner Shark,Spinner sharks can leap from the water while spinning.
29,65,Sand Tiger Shark,Sand tiger sharks can look fierce but usually swim slowly and calmly.
30,67,Frilled Shark,Frilled sharks have eel-like bodies and rows of needle-shaped teeth.
31,69,Giant Manta Ray,Giant manta rays can have wingspans wider than a small car.
32,71,Reef Manta Ray,Reef manta rays often visit cleaning stations where small fish remove parasites.
33,73,Spotted Eagle Ray,Spotted eagle rays have long tails and white spots across their backs.
34,75,Southern Stingray,Southern stingrays often bury themselves in sand with only their eyes showing.
35,77,Round Stingray,Round stingrays have nearly circular bodies and short tails.
36,79,Blue-Spotted Ribbontail Ray,Blue-spotted ribbontail rays have bright spots and usually rest near reefs.
37,81,Cownose Ray,Cownose rays often swim together in large groups.
38,83,Bat Ray,Bat rays use strong jaws to crush clams crabs and other hard-shelled food.
39,85,Electric Ray,Electric rays can produce electrical shocks to defend themselves or stun prey.
40,87,Butterfly Ray,Butterfly rays have wide wing-like fins and very short tails.
41,89,Guitarfish,Guitarfish have flattened fronts like rays and shark-like tails.
42,91,Shovelnose Ray,Shovelnose rays have pointed snouts and long narrow bodies.
43,93,Sawfish,Sawfish are rays with long toothed snouts called rostra.
44,95,Skate,Skates lay egg cases sometimes called mermaid's purses.
45,97,Thornback Skate,Thornback skates have rough spines along their backs and tails.
46,99,Little Skate,Little skates are small bottom-dwelling relatives of rays.
47,101,Devil Ray,Devil rays are close relatives of manta rays and swim with wing-like fins.
48,103,Mobula Ray,Mobula rays sometimes leap completely out of the water.
49,105,Pelagic Stingray,Pelagic stingrays live in open ocean rather than staying on the seafloor.
50,107,Yellow Stingray,Yellow stingrays have round bodies with spotted or mottled patterns.
51,109,Atlantic Stingray,Atlantic stingrays can enter brackish and freshwater areas.
52,111,Freshwater Stingray,Freshwater stingrays live in rivers and lakes in South America.
53,113,Porcupine Ray,Porcupine rays have rough skin covered with small thorn-like bumps.
54,115,Sixgill Stingray,Sixgill stingrays are unusual rays with six pairs of gill slits.
55,117,Shark Ray,Shark rays have broad ray-like heads and powerful shark-like tails.
56,119,Bowmouth Guitarfish,Bowmouth guitarfish have broad heads covered with rows of small ridges.
57,121,Common Skate,Common skates are large skates that live on the seafloor.
58,123,Manta Ray Pup,Manta ray babies are born live and are called pups.
59,125,Baby Shark,Young sharks are called pups and many are born ready to swim on their own.
60,127,Ray Pup,Many young rays are born as small live pups shaped like tiny adults.
