number,interior_page,animal,fact
1,9,Cow,Cows are social animals and often form close friendships with other cows.
2,11,Calf,A baby cow is called a calf.
3,13,Bull,An adult male cow is called a bull.
4,15,Horse,Horses can sleep either standing up or lying down.
5,17,Foal,A baby horse is called a foal and can stand soon after birth.
6,19,Donkey,A donkey's large ears help it hear well and release body heat.
7,21,Mule,A mule is usually the offspring of a donkey and a horse.
8,23,Pig,Pigs have an excellent sense of smell.
9,25,Piglet,A baby pig is called a piglet.
10,27,Sheep,Sheep have rectangular pupils that give them a very wide view.
11,29,Lamb,A young sheep is called a lamb.
12,31,Goat,"Goats are excellent climbers and have strong, gripping hooves."
13,33,Kid,A baby goat is called a kid.
14,35,Chicken,Chickens take dust baths to help keep their feathers clean.
15,37,Rooster,A rooster often crows to announce its territory.
16,39,Chick,A baby chicken is called a chick.
17,41,Turkey,Wild turkeys can fly short distances even though they spend lots of time on the ground.
18,43,Duck,Ducks spread natural oil over their feathers to help keep them waterproof.
19,45,Duckling,A baby duck is called a duckling.
20,47,Goose,Geese often fly in a V shape during long journeys.
21,49,Gosling,A baby goose is called a gosling.
22,51,Rabbit,Rabbits have large ears that help them hear danger and release body heat.
23,53,Barn Cat,Cats use their whiskers to help judge narrow spaces.
24,55,Farm Dog,Dogs have an extremely strong sense of smell.
25,57,Llama,"Llamas communicate with sounds, body language, and ear positions."
26,59,Alpaca,Alpacas often hum to communicate with one another.
27,61,Pony,"A pony is a small type of horse, not simply a baby horse."
28,63,Ox,An ox is a trained cattle animal that can help pull heavy loads.
29,65,Yak,Yaks have long shaggy coats that help protect them from cold weather.
30,67,Water Buffalo,Water buffalo often cool off by resting in water or mud.
31,69,Guinea Fowl,Guinea fowl make loud calls that can alert a farm to visitors.
32,71,Quail,Quail are small ground-dwelling birds that can run quickly.
33,73,Pigeon,Pigeons are excellent navigators and can find their way home over long distances.
34,75,Barn Owl,Barn owls hunt mostly at night and have excellent hearing.
35,77,Peacock,Male peafowl can spread their long colorful tail feathers into a fan.
36,79,Honey Bee,Honey bees communicate the location of food using special dances.
37,81,Butterfly,Butterflies taste with special sensors on their feet.
38,83,Ladybug,"Ladybugs eat aphids, tiny insects that can damage crops and garden plants."
39,85,Earthworm,Earthworms help mix and loosen soil as they tunnel underground.
40,87,Frog,Frogs can help farms by eating many small insects.
41,89,Field Mouse,"Field mice build nests in grasses, burrows, or sheltered places."
42,91,Rat,Rats are intelligent animals with excellent memories.
43,93,Squirrel,Squirrels help spread trees by burying seeds and nuts that may later grow.
44,95,Hedgehog,Hedgehogs can curl into a tight ball when they feel threatened.
45,97,Tortoise,Tortoises carry a hard protective shell wherever they go.
46,99,Carp,Carp use sensitive barbels near their mouths to help find food.
47,101,Tilapia,Tilapia are freshwater fish commonly raised on fish farms.
48,103,Koi,Koi are colorful relatives of the common carp.
49,105,Pond Turtle,Many pond turtles bask in the sun to warm their bodies.
50,107,Dragonfly,Dragonflies are fast-flying insects that eat mosquitoes and other small insects.
51,109,Highland Cow,"Highland cattle have long shaggy coats that help protect them from cold, wet weather."
52,111,Jersey Cow,Jersey cows are a dairy breed known for milk that is rich in butterfat.
53,113,Clydesdale Horse,Clydesdales are large draft horses bred for strength and pulling heavy loads.
54,115,Miniature Horse,Miniature horses are small horses that still have the proportions and features of full-sized horses.
55,117,Angora Goat,Angora goats grow long curly fiber called mohair.
56,119,Merino Sheep,Merino sheep are famous for producing very fine wool.
57,121,Pot-Bellied Pig,Pot-bellied pigs are smaller domestic pigs with rounded bellies and strong noses.
58,123,Silkie Chicken,Silkie chickens have soft fluffy feathers that can look almost like fur.
59,125,Muscovy Duck,Muscovy ducks are strong fliers and have red bumpy skin around their faces.
60,127,Barn Swallow,Barn swallows catch flying insects while swooping through the air.
