number,interior_page,batch,subject,expected_filename,fact
1,9,B043,American Robin,01_american_robin.png,Robins often tug earthworms from lawns and gardens.
2,11,B043,Northern Cardinal,02_northern_cardinal.png,Male northern cardinals are bright red while females are mostly brown with red accents.
3,13,B043,Blue Jay,03_blue_jay.png,Blue jays can copy some hawk calls and other sounds.
4,15,B043,House Sparrow,04_house_sparrow.png,House sparrows often live close to people and nest in buildings.
5,17,B043,House Finch,05_house_finch.png,House finches commonly visit backyard seed feeders.
6,19,B043,Black-Capped Chickadee,06_black_capped_chickadee.png,Chickadees hide seeds in many places and can remember where they stored them.
7,21,B043,Tufted Titmouse,07_tufted_titmouse.png,Tufted titmice carry seeds away from feeders to eat in safer spots.
8,23,B043,Mourning Dove,08_mourning_dove.png,Mourning doves make a soft cooing call and often feed on the ground.
9,25,B043,American Goldfinch,09_american_goldfinch.png,Goldfinches eat many seeds from flowers such as sunflowers and thistles.
10,27,B043,Downy Woodpecker,10_downy_woodpecker.png,Downy woodpeckers are small woodpeckers that often visit suet feeders.
11,29,B043,Red-Bellied Woodpecker,11_red_bellied_woodpecker.png,Red-bellied woodpeckers store nuts and seeds in cracks in bark.
12,31,B043,White-Breasted Nuthatch,12_white_breasted_nuthatch.png,Nuthatches can climb headfirst down tree trunks.
13,33,B043,Carolina Wren,13_carolina_wren.png,Carolina wrens have loud songs even though they are small birds.
14,35,B043,Ruby-Throated Hummingbird,14_ruby_throated_hummingbird.png,Hummingbirds can hover by beating their wings very quickly.
15,37,B043,European Starling,15_european_starling.png,Starlings can imitate many sounds from their surroundings.
16,39,B043,Gray Squirrel,16_gray_squirrel.png,Gray squirrels bury nuts and may help plant new trees.
17,41,B043,Red Squirrel,17_red_squirrel.png,Red squirrels often store cones and seeds for later.
18,43,B043,Eastern Chipmunk,18_eastern_chipmunk.png,Chipmunks carry food in stretchy cheek pouches.
19,45,B043,Eastern Cottontail,19_eastern_cottontail.png,Eastern cottontails use quick zigzag running to escape danger.
20,47,B043,Raccoon,20_raccoon.png,Raccoons have very sensitive front paws that help them explore objects.
21,49,B043,Striped Skunk,21_striped_skunk.png,Skunks can spray a strong-smelling liquid to defend themselves.
22,51,B043,Virginia Opossum,22_virginia_opossum.png,Opossums are North America's only native marsupials.
23,53,B043,Groundhog,23_groundhog.png,Groundhogs are large ground squirrels that dig extensive burrows.
24,55,B043,Little Brown Bat,24_little_brown_bat.png,Little brown bats can catch many flying insects at night.
25,57,B043,Big Brown Bat,25_big_brown_bat.png,Big brown bats use echolocation to navigate and find insects.
26,59,B043,White-Footed Mouse,26_white_footed_mouse.png,White-footed mice often gather seeds and nuts at night.
27,61,B043,Meadow Vole,27_meadow_vole.png,Meadow voles make little runways through grass.
28,63,B043,Short-Tailed Shrew,28_short_tailed_shrew.png,Shrews have very fast metabolisms and must eat often.
29,65,B043,Five-Lined Skink,29_five_lined_skink.png,Young five-lined skinks often have bright blue tails.
30,67,B043,Eastern Fence Lizard,30_eastern_fence_lizard.png,Fence lizards like to bask on sunny logs and fences.
31,69,B044,Garter Snake,31_garter_snake.png,Garter snakes are common harmless snakes in many yards and gardens.
32,71,B044,Ring-Necked Snake,32_ring_necked_snake.png,Ring-necked snakes are small and often hide beneath logs or stones.
33,73,B044,Eastern Box Turtle,33_eastern_box_turtle.png,Box turtles can pull their head and legs inside and close their hinged shell.
34,75,B044,American Toad,34_american_toad.png,American toads help gardens by eating many insects and other small creatures.
35,77,B044,Green Frog,35_green_frog.png,Green frogs often live near ponds and make a twang-like call.
36,79,B044,Spring Peeper,36_spring_peeper.png,Spring peepers are tiny frogs known for loud springtime calls.
37,81,B044,Garden Snail,37_garden_snail.png,Garden snails move on a muscular foot and leave behind a trail of slime.
38,83,B044,Earthworm,38_earthworm.png,Earthworms help mix soil as they burrow underground.
39,85,B044,Monarch Butterfly,39_monarch_butterfly.png,Monarch butterflies migrate long distances between seasonal habitats.
40,87,B044,Eastern Tiger Swallowtail,40_eastern_tiger_swallowtail.png,Eastern tiger swallowtails are large butterflies with long tail-like tips on their hindwings.
41,89,B044,Cabbage White Butterfly,41_cabbage_white_butterfly.png,Cabbage white butterflies are common around gardens and open areas.
42,91,B044,Luna Moth,42_luna_moth.png,Luna moths are large green moths with long tails on their hindwings.
43,93,B044,Firefly,43_firefly.png,Fireflies produce light with a chemical reaction in their bodies.
44,95,B044,Ladybug,44_ladybug.png,Ladybugs eat aphids and other tiny plant pests.
45,97,B044,Praying Mantis,45_praying_mantis.png,Praying mantises use powerful front legs to catch prey.
46,99,B044,Dragonfly,46_dragonfly.png,Dragonflies are skilled fliers that catch other insects in the air.
47,101,B044,Bumblebee,47_bumblebee.png,Bumblebees can vibrate flowers to shake loose pollen.
48,103,B044,Honey Bee,48_honey_bee.png,Honey bees communicate food locations with special dances.
49,105,B044,Carpenter Bee,49_carpenter_bee.png,Carpenter bees chew tunnels in wood where they make nests.
50,107,B044,Paper Wasp,50_paper_wasp.png,Paper wasps build open nests from chewed wood fibers mixed with saliva.
51,109,B044,Grasshopper,51_grasshopper.png,Grasshoppers jump with strong back legs.
52,111,B044,Cricket,52_cricket.png,Crickets make chirping sounds by rubbing parts of their wings together.
53,113,B044,Katydid,53_katydid.png,Katydids are often green and can blend in with leaves.
54,115,B044,Stag Beetle,54_stag_beetle.png,Stag beetles are named for the large antler-like jaws of some males.
55,117,B044,Orb-Weaver Spider,55_orb_weaver_spider.png,Orb-weaver spiders build round wheel-shaped webs.
56,119,B044,Jumping Spider,56_jumping_spider.png,Jumping spiders have excellent eyesight and can leap onto prey.
57,121,B044,Garden Spider,57_garden_spider.png,Garden spiders build large webs between tall plants.
58,123,B044,Millipede,58_millipede.png,Millipedes have many body segments with two pairs of legs on most segments.
59,125,B044,Centipede,59_centipede.png,Centipedes have one pair of legs on each body segment.
60,127,B044,Pill Bug,60_pill_bug.png,Pill bugs are crustaceans that can roll into a ball when disturbed.
