number,interior_page,animal,fact
1,9,Red Panda,Red pandas use bushy tails for balance and warmth.
2,11,Quokka,Quokkas are small wallaby relatives with rounded faces.
3,13,Koala,Koalas have strong claws for climbing eucalyptus trees.
4,15,Giant Panda,Giant pandas spend many hours each day eating bamboo.
5,17,Fennec Fox,Fennec foxes have enormous ears that help release body heat.
6,19,Arctic Fox,Arctic foxes grow thick coats for freezing climates.
7,21,Pika,Pikas are small mountain mammals that gather plants for winter.
8,23,Hedgehog,Hedgehogs can curl into tight balls for protection.
9,25,Rabbit,Rabbits have powerful hind legs for hopping.
10,27,Dwarf Rabbit,Small pet rabbits still have the same strong hind legs as larger rabbits.
11,29,Guinea Pig,"Guinea pigs communicate with squeaks, whistles, and purr-like sounds."
12,31,Hamster,Hamsters use cheek pouches to carry food.
13,33,Chinchilla,Chinchillas have extremely dense soft fur.
14,35,Sugar Glider,Sugar gliders can glide between trees using skin between their legs.
15,37,Flying Squirrel,Flying squirrels glide through forests at night.
16,39,Chipmunk,Chipmunks have stretchy cheek pouches for carrying seeds.
17,41,Sea Otter,Sea otters sometimes hold hands while resting in groups at the surface.
18,43,River Otter,River otters are playful swimmers with streamlined bodies.
19,45,Meerkat,Meerkats often take turns standing watch.
20,47,Sloth,Sloths move slowly and spend much of their lives in trees.
21,49,Capybara,Capybaras are the world's largest living rodents.
22,51,Pygmy Marmoset,Pygmy marmosets are among the smallest monkeys.
23,53,Tarsier,Tarsiers have enormous eyes adapted for low light.
24,55,Ring-Tailed Lemur,Ring-tailed lemurs use striped tails for visual signals.
25,57,Alpaca,Alpacas have soft fleece and long necks.
26,59,Llama,Llamas are social South American camel relatives.
27,61,Miniature Horse,Miniature horses are bred to be very small while keeping horse-like proportions.
28,63,Shetland Pony,Shetland ponies are tiny but very strong.
29,65,Highland Cow,Highland cattle have long shaggy coats.
30,67,Lamb,Baby sheep are called lambs.
31,69,Goat Kid,Baby goats are called kids.
32,71,Piglet,Piglets use a strong sense of smell from an early age.
33,73,Duckling,Ducklings can swim soon after hatching.
34,75,Chick,Chicks use an egg tooth to help break out of their shells.
35,77,Gosling,Baby geese are called goslings.
36,79,Penguin Chick,Penguin chicks are covered in fluffy down.
37,81,Puffin,Puffins use colorful bills to carry several fish at once.
38,83,Lovebird,Lovebirds are small social parrots.
39,85,Budgerigar,Budgies are small parrots that can learn sounds.
40,87,Cockatiel,Cockatiels raise and lower the crests on their heads.
41,89,Hummingbird,Hummingbirds can hover in place while feeding.
42,91,Bluebird,Bluebirds often nest in tree cavities or nest boxes.
43,93,Barn Owl,Barn owls have heart-shaped faces.
44,95,Axolotl,Axolotls keep feathery external gills as adults.
45,97,Red-Eyed Tree Frog,Red-eyed tree frogs have sticky toe pads for climbing.
46,99,Leopard Gecko,Leopard geckos store fat in their thick tails.
47,101,Crested Gecko,Crested geckos have eyelash-like ridges above their eyes.
48,103,Baby Tortoise,Tortoise hatchlings begin life with tiny but fully formed shells.
49,105,Sea Turtle Hatchling,Sea turtle hatchlings crawl toward the ocean after leaving their nests.
50,107,Clownfish,Clownfish live safely among sea anemone tentacles.
51,109,Seahorse,Seahorses swim upright and use tails to hold onto plants.
52,111,Pufferfish,Pufferfish can inflate their bodies when threatened.
53,113,Bottlenose Dolphin,Dolphins communicate with whistles and clicks.
54,115,Beluga Whale,Belugas are pale whales known for many vocal sounds.
55,117,Harbor Seal,Harbor seals have round heads and spotted coats.
56,119,Manatee,Manatees are gentle plant-eating marine mammals.
57,121,Nudibranch,Nudibranchs are colorful sea slugs with many unusual shapes.
58,123,Ladybug,Ladybugs are beetles that often eat aphids.
59,125,Bumblebee,Bumblebees can vibrate flowers to shake loose pollen.
60,127,Luna Moth,Luna moths have pale green wings and long tails on their hind wings.
