number,interior_page,animal,fact
1,9,Bald Eagle,Bald eagles build some of the largest nests made by any bird.
2,11,Golden Eagle,Golden eagles use sharp eyesight to spot prey from high in the sky.
3,13,Peregrine Falcon,Peregrine falcons can dive at extraordinary speeds while hunting.
4,15,Red-Tailed Hawk,Red-tailed hawks are often seen soaring in wide circles over open land.
5,17,Osprey,Ospreys are fish-eating raptors with feet specially adapted for gripping slippery prey.
6,19,Barn Owl,Barn owls have heart-shaped faces that help direct sound toward their ears.
7,21,Snowy Owl,Snowy owls have thick feathers that help them survive Arctic winters.
8,23,Great Horned Owl,Great horned owls have feather tufts that look like horns.
9,25,Flamingo,Flamingos get much of their pink color from pigments in the food they eat.
10,27,Peacock,Male peafowl can spread long colorful tail feathers into a huge fan.
11,29,Scarlet Macaw,Scarlet macaws use strong curved beaks to crack nuts and seeds.
12,31,Blue-and-Yellow Macaw,Blue-and-yellow macaws are large parrots that live in parts of South America.
13,33,Toco Toucan,Toco toucans have enormous colorful bills that are surprisingly lightweight.
14,35,Amazon Parrot,Amazon parrots are social birds known for loud calls and strong voices.
15,37,Cockatoo,Cockatoos can raise and lower the crest of feathers on top of their heads.
16,39,African Grey Parrot,African grey parrots are famous for learning and imitating many different sounds.
17,41,Ruby-Throated Hummingbird,Hummingbirds can hover by beating their wings very quickly.
18,43,Belted Kingfisher,Kingfishers often dive from perches to catch fish in the water.
19,45,Pileated Woodpecker,Pileated woodpeckers chip large holes into dead trees while searching for insects.
20,47,American Robin,American robins often hunt for earthworms on lawns and open ground.
21,49,Blue Jay,Blue jays can imitate the calls of some hawks.
22,51,Northern Cardinal,Male northern cardinals are bright red while females are mostly warm brown.
23,53,House Sparrow,House sparrows often live close to people in towns and cities.
24,55,American Goldfinch,Male American goldfinches turn bright yellow during the breeding season.
25,57,Canary,Canaries are small finches known for their musical songs.
26,59,American Crow,Crows are highly intelligent birds that can solve problems and remember faces.
27,61,Common Raven,Ravens are large members of the crow family and can perform playful aerial rolls.
28,63,Black-Billed Magpie,Magpies are bold black-and-white birds with long tails.
29,65,Rock Pigeon,Pigeons can find their way home from long distances.
30,67,Mourning Dove,Mourning doves make a soft cooing call that sounds almost like a whistle.
31,69,Herring Gull,"Gulls are adaptable birds that can live along coasts, lakes, and cities."
32,71,Brown Pelican,Brown pelicans plunge into the water to catch fish.
33,73,Atlantic Puffin,Puffins use their colorful bills to hold several small fish at once.
34,75,Wandering Albatross,Wandering albatrosses have some of the widest wingspans of any living bird.
35,77,Emperor Penguin,Emperor penguins are the largest living penguins.
36,79,Ostrich,Ostriches are the world's largest living birds and cannot fly.
37,81,Emu,Emus are large flightless Australian birds with long powerful legs.
38,83,Southern Cassowary,Cassowaries have a helmet-like casque on top of their heads.
39,85,Kiwi,Kiwis are flightless birds with nostrils near the tips of their long bills.
40,87,Wild Turkey,Wild turkeys can fly short distances despite their heavy bodies.
41,89,Chicken,Chickens use different calls to communicate about food and danger.
42,91,Mallard Duck,Male mallards usually have glossy green heads.
43,93,Canada Goose,Canada geese fly in V-shaped formations that can help save energy.
44,95,Mute Swan,Swans have long necks and powerful wings.
45,97,Sandhill Crane,Sandhill cranes perform energetic dances with jumps and wing flaps.
46,99,White Stork,White storks build large stick nests on tall structures and trees.
47,101,Great Blue Heron,Great blue herons stand very still before striking quickly at fish.
48,103,Great Egret,Great egrets have long necks and spear-shaped bills for catching prey.
49,105,Scarlet Ibis,Scarlet ibises become red from pigments in the crustaceans they eat.
50,107,Roseate Spoonbill,Spoonbills sweep their flat bills side to side through shallow water to find food.
51,109,Great Hornbill,Hornbills have large bills topped by a hollow structure called a casque.
52,111,Hoopoe,Hoopoes can raise a crown-like fan of feathers on their heads.
53,113,European Bee-Eater,Bee-eaters catch flying insects in the air and often perch together.
54,115,Secretary Bird,Secretary birds hunt on the ground and use powerful legs to strike prey.
55,117,Laughing Kookaburra,Kookaburras are kingfishers famous for loud calls that sound like laughter.
56,119,Greater Roadrunner,Roadrunners can sprint quickly across the ground while hunting small animals.
57,121,California Quail,California quail have a curved feather plume that bobs above the forehead.
58,123,Ring-Necked Pheasant,Male ring-necked pheasants have bright colors and very long tails.
59,125,Gray Partridge,Gray partridges are ground birds that often stay in groups called coveys.
60,127,Common Loon,Loons are excellent divers with legs set far back on their bodies for swimming.
