number,interior_page,batch,subject,expected_filename,status,qa_status
1,9,B033,African Lion,01_african_lion.png,Queued,Not Reviewed
2,11,B033,Tiger,02_tiger.png,Queued,Not Reviewed
3,13,B033,Cheetah,03_cheetah.png,Queued,Not Reviewed
4,15,B033,Leopard,04_leopard.png,Queued,Not Reviewed
5,17,B033,Jaguar,05_jaguar.png,Queued,Not Reviewed
6,19,B033,Snow Leopard,06_snow_leopard.png,Queued,Not Reviewed
7,21,B033,African Elephant,07_african_elephant.png,Queued,Not Reviewed
8,23,B033,Asian Elephant,08_asian_elephant.png,Queued,Not Reviewed
9,25,B033,Giraffe,09_giraffe.png,Queued,Not Reviewed
10,27,B033,Zebra,10_zebra.png,Queued,Not Reviewed
11,29,B033,White Rhinoceros,11_white_rhinoceros.png,Queued,Not Reviewed
12,31,B033,Black Rhinoceros,12_black_rhinoceros.png,Queued,Not Reviewed
13,33,B033,Hippopotamus,13_hippopotamus.png,Queued,Not Reviewed
14,35,B033,Gorilla,14_gorilla.png,Queued,Not Reviewed
15,37,B033,Chimpanzee,15_chimpanzee.png,Queued,Not Reviewed
16,39,B033,Orangutan,16_orangutan.png,Queued,Not Reviewed
17,41,B033,Baboon,17_baboon.png,Queued,Not Reviewed
18,43,B033,Ring-Tailed Lemur,18_ring_tailed_lemur.png,Queued,Not Reviewed
19,45,B033,Red Panda,19_red_panda.png,Queued,Not Reviewed
20,47,B033,Giant Panda,20_giant_panda.png,Queued,Not Reviewed
21,49,B033,Koala,21_koala.png,Queued,Not Reviewed
22,51,B033,Kangaroo,22_kangaroo.png,Queued,Not Reviewed
23,53,B033,Wombat,23_wombat.png,Queued,Not Reviewed
24,55,B033,Meerkat,24_meerkat.png,Queued,Not Reviewed
25,57,B033,Fennec Fox,25_fennec_fox.png,Queued,Not Reviewed
26,59,B033,Arctic Fox,26_arctic_fox.png,Queued,Not Reviewed
27,61,B033,Gray Wolf,27_gray_wolf.png,Queued,Not Reviewed
28,63,B033,Brown Bear,28_brown_bear.png,Queued,Not Reviewed
29,65,B033,Polar Bear,29_polar_bear.png,Queued,Not Reviewed
30,67,B033,Sloth Bear,30_sloth_bear.png,Queued,Not Reviewed
31,69,B034,Spotted Hyena,31_spotted_hyena.png,Queued,Not Reviewed
32,71,B034,African Wild Dog,32_african_wild_dog.png,Queued,Not Reviewed
33,73,B034,Bactrian Camel,33_bactrian_camel.png,Queued,Not Reviewed
34,75,B034,Dromedary Camel,34_dromedary_camel.png,Queued,Not Reviewed
35,77,B034,Okapi,35_okapi.png,Queued,Not Reviewed
36,79,B034,Tapir,36_tapir.png,Queued,Not Reviewed
37,81,B034,Capybara,37_capybara.png,Queued,Not Reviewed
38,83,B034,Giant Anteater,38_giant_anteater.png,Queued,Not Reviewed
39,85,B034,Two-Toed Sloth,39_two_toed_sloth.png,Queued,Not Reviewed
40,87,B034,Giant Tortoise,40_giant_tortoise.png,Queued,Not Reviewed
41,89,B034,Komodo Dragon,41_komodo_dragon.png,Queued,Not Reviewed
42,91,B034,Nile Crocodile,42_nile_crocodile.png,Queued,Not Reviewed
43,93,B034,American Alligator,43_american_alligator.png,Queued,Not Reviewed
44,95,B034,King Cobra,44_king_cobra.png,Queued,Not Reviewed
45,97,B034,Green Anaconda,45_green_anaconda.png,Queued,Not Reviewed
46,99,B034,Bald Eagle,46_bald_eagle.png,Queued,Not Reviewed
47,101,B034,Harpy Eagle,47_harpy_eagle.png,Queued,Not Reviewed
48,103,B034,Ostrich,48_ostrich.png,Queued,Not Reviewed
49,105,B034,Emu,49_emu.png,Queued,Not Reviewed
50,107,B034,Cassowary,50_cassowary.png,Queued,Not Reviewed
51,109,B034,Greater Flamingo,51_greater_flamingo.png,Queued,Not Reviewed
52,111,B034,Peacock,52_peacock.png,Queued,Not Reviewed
53,113,B034,Toucan,53_toucan.png,Queued,Not Reviewed
54,115,B034,Scarlet Macaw,54_scarlet_macaw.png,Queued,Not Reviewed
55,117,B034,African Penguin,55_african_penguin.png,Queued,Not Reviewed
56,119,B034,California Sea Lion,56_california_sea_lion.png,Queued,Not Reviewed
57,121,B034,Harbor Seal,57_harbor_seal.png,Queued,Not Reviewed
58,123,B034,Bottlenose Dolphin,58_bottlenose_dolphin.png,Queued,Not Reviewed
59,125,B034,Sea Otter,59_sea_otter.png,Queued,Not Reviewed
60,127,B034,Manatee,60_manatee.png,Queued,Not Reviewed
