number,interior_page,animal,fact
1,9,Polar Bear,Polar bears have black skin underneath their thick fur.
2,11,Arctic Fox,Many Arctic foxes grow white winter coats that help them blend into snow.
3,13,Arctic Wolf,Arctic wolves have thick fur that helps protect them from extreme cold.
4,15,Reindeer,Both male and female reindeer can grow antlers.
5,17,Musk Ox,Musk oxen have extremely warm undercoats called qiviut.
6,19,Arctic Hare,Arctic hares have powerful hind legs and thick fur for cold climates.
7,21,Lemming,Lemmings are small rodents that live in tundra habitats.
8,23,Wolverine,Wolverines have large paws that help them travel over snow.
9,25,Ermine,Ermines in cold regions often turn white during winter.
10,27,Snowy Owl,Snowy owls have thick feathers that even cover their feet.
11,29,Rock Ptarmigan,Rock ptarmigans grow white feathers in winter for camouflage.
12,31,Gyrfalcon,Gyrfalcons are the largest falcons in the world.
13,33,Atlantic Puffin,Puffins use their wings to swim underwater.
14,35,Guillemot,Guillemots are seabirds that nest on steep rocky cliffs.
15,37,Arctic Tern,Arctic terns make one of the longest migrations of any animal.
16,39,Ivory Gull,Ivory gulls are almost completely white and live in the high Arctic.
17,41,Walrus,Walruses use sensitive whiskers to find food on the seafloor.
18,43,Ringed Seal,Ringed seals use strong claws to keep breathing holes open in sea ice.
19,45,Harp Seal,Young harp seals are famous for their fluffy white coats.
20,47,Bearded Seal,Bearded seals have long whiskers that help them search the seafloor.
21,49,Hooded Seal,Male hooded seals can inflate a large nasal sac during displays.
22,51,Northern Elephant Seal,Elephant seals can make extremely deep dives while hunting.
23,53,Antarctic Fur Seal,Antarctic fur seals have thick coats that help keep them warm.
24,55,Narwhal,A narwhal's long tusk is actually an enlarged tooth.
25,57,Beluga Whale,Belugas are very vocal whales sometimes called sea canaries.
26,59,Bowhead Whale,Bowhead whales have huge heads that can break through sea ice.
27,61,Humpback Whale,Male humpback whales can sing long and complicated songs.
28,63,Orca,Orcas are the largest members of the dolphin family.
29,65,Blue Whale,The blue whale is the largest animal known to have lived on Earth.
30,67,Minke Whale,Minke whales are among the smallest baleen whales.
31,69,Greenland Shark,Greenland sharks can live for centuries.
32,71,Arctic Char,Arctic char can live in both fresh water and salt water.
33,73,Polar Cod,Polar cod are important food for many Arctic birds and marine mammals.
34,75,Antarctic Krill,Antarctic krill are tiny crustaceans that feed many larger animals.
35,77,Emperor Penguin,Emperor penguins are the tallest and heaviest penguins.
36,79,Adelie Penguin,Adelie penguins use stones to build nests.
37,81,Chinstrap Penguin,Chinstrap penguins have a thin black line under their chins.
38,83,Gentoo Penguin,Gentoo penguins are among the fastest swimming penguins.
39,85,Macaroni Penguin,Macaroni penguins have bright yellow-orange crest feathers.
40,87,King Penguin,King penguins have colorful orange patches near their heads.
41,89,Rockhopper Penguin,Rockhopper penguins hop across rocky ground instead of waddling everywhere.
42,91,Leopard Seal,Leopard seals are powerful Antarctic predators with spotted coats.
43,93,Weddell Seal,Weddell seals use their teeth to keep breathing holes open in ice.
44,95,Crabeater Seal,Crabeater seals mainly eat krill rather than crabs.
45,97,Snow Petrel,Snow petrels are white seabirds that live around Antarctica.
46,99,Wandering Albatross,Wandering albatrosses have some of the widest wingspans of any bird.
47,101,South Polar Skua,South polar skuas are tough seabirds that nest in Antarctica.
48,103,Antarctic Petrel,Antarctic petrels often gather in huge flocks over the Southern Ocean.
49,105,Arctic Bumblebee,Some bumblebees survive in the Arctic by warming their flight muscles.
50,107,Polar Bear Moth,Some Arctic moth caterpillars take several years to grow before becoming adults.
51,109,Arctic Ground Squirrel,Arctic ground squirrels survive winter by hibernating for many months.
52,111,Peary Caribou,Peary caribou are small pale caribou adapted to Canada's High Arctic islands.
53,113,Dall Sheep,Dall sheep have white coats and live on steep northern mountain slopes.
54,115,King Eider,Male king eiders have colorful heads and live around Arctic coasts.
55,117,Common Eider,Eider ducks have extremely soft down feathers that help insulate their nests.
56,119,Snow Goose,Snow geese migrate in large flocks between Arctic breeding grounds and warmer winter areas.
57,121,Colossal Squid,Colossal squid live in deep cold Southern Ocean waters and have huge eyes.
58,123,Antarctic Toothfish,Antarctic toothfish have special proteins in their blood that help prevent freezing.
59,125,Snowy Sheathbill,Snowy sheathbills are white Antarctic birds that often walk around penguin colonies.
60,127,Antarctic Midge,The Antarctic midge is a tiny flightless insect adapted to survive extreme cold.
