number,interior_page,animal,fact
1,9,Lion Family,Lion cubs grow up in social groups called prides.
2,11,Elephant Family,Elephant calves stay close to their mothers and other herd members.
3,13,Giraffe Family,Newborn giraffe calves can stand and walk soon after birth.
4,15,Zebra Family,Zebra foals learn their mother's stripe pattern and scent.
5,17,Gorilla Family,Young gorillas ride on their mothers as they travel.
6,19,Chimpanzee Family,Chimpanzee youngsters spend years learning from their mothers.
7,21,Orangutan Family,Orangutan babies stay with their mothers for many years.
8,23,Tiger Family,Tiger cubs learn hunting skills from their mothers.
9,25,Cheetah Family,Cheetah cubs stay with their mother while learning to hunt.
10,27,Leopard Family,Leopard cubs are born with spotted coats.
11,29,Wolf Family,Wolf pups are raised by a family group called a pack.
12,31,Fox Family,Fox kits often play together near their den.
13,33,Bear Family,Bear cubs stay with their mother while learning where to find food.
14,35,Polar Bear Family,Polar bear cubs are born in snow dens and remain with their mother.
15,37,Panda Family,Giant panda cubs are tiny compared with their mothers at birth.
16,39,Kangaroo Family,A baby kangaroo is called a joey and develops inside its mother's pouch.
17,41,Koala Family,Koala joeys ride on their mother's back after leaving the pouch.
18,43,Wombat Family,Wombat joeys grow inside a backward-facing pouch.
19,45,Wallaby Family,Wallaby joeys develop in a pouch just like kangaroos.
20,47,Meerkat Family,Meerkat groups help watch over and protect young pups.
21,49,Otter Family,Otter pups learn to swim from their mothers.
22,51,Beaver Family,Young beavers called kits live with their family in a lodge.
23,53,Raccoon Family,Raccoon kits stay with their mother while learning to forage.
24,55,Skunk Family,Skunk kits follow their mother in a line while exploring.
25,57,Deer Family,A young deer is called a fawn and often has spots for camouflage.
26,59,Moose Family,Moose calves can walk soon after they are born.
27,61,Bison Family,Bison calves are sometimes called red dogs because of their reddish coats.
28,63,Horse Family,A baby horse is called a foal.
29,65,Donkey Family,A baby donkey is called a foal and stays close to its mother.
30,67,Cow Family,A baby cow is called a calf.
31,69,Sheep Family,A baby sheep is called a lamb.
32,71,Goat Family,A baby goat is called a kid.
33,73,Pig Family,A baby pig is called a piglet.
34,75,Rabbit Family,Baby rabbits are called kits or kittens.
35,77,Dog Family,Puppies are born with their eyes and ears closed.
36,79,Cat Family,Kittens depend on their mother for warmth and food when very young.
37,81,Dolphin Family,Dolphin calves swim beside their mothers and learn social skills.
38,83,Orca Family,Orca calves often stay with their mother's family group for life.
39,85,Humpback Whale Family,Humpback calves drink rich milk from their mothers.
40,87,Manatee Family,Manatee calves stay close to their mothers and learn where to feed.
41,89,Seal Family,Seal pups are born with coats suited to their cold or coastal habitats.
42,91,Sea Lion Family,Sea lion pups recognize their mothers by calls and smell.
43,93,Walrus Family,Walrus calves stay very close to their mothers in the water.
44,95,Penguin Family,Many penguin parents take turns caring for eggs and chicks.
45,97,Emperor Penguin Family,Emperor penguin fathers balance eggs on their feet during winter.
46,99,Albatross Family,Albatross parents may travel long distances to bring food back to their chicks.
47,101,Owl Family,Owlets stay in the nest while their parents bring food.
48,103,Eagle Family,Eaglets grow quickly and practice flapping before their first flight.
49,105,Duck Family,Ducklings can follow their mother soon after hatching.
50,107,Goose Family,Goslings can walk and swim shortly after hatching.
51,109,Chicken Family,Chicks communicate with their mother even before hatching.
52,111,Crocodile Family,Mother crocodiles may carry hatchlings gently in their mouths.
53,113,Alligator Family,Female alligators guard nests and help protect hatchlings.
54,115,Sea Turtle Family,Sea turtle hatchlings dig out of sandy nests and head toward the sea.
55,117,Frog Family,Frog eggs hatch into tadpoles before changing into frogs.
56,119,Seahorse Family,Male seahorses carry developing babies in a special pouch.
57,121,Octopus Family,Female octopuses guard their eggs until they hatch.
58,123,Clownfish Family,Clownfish parents clean and guard their eggs.
59,125,Elephant Seal Family,Elephant seal pups grow quickly by drinking rich milk.
60,127,Prairie Dog Family,Prairie dog pups live in underground family burrows called coteries.
