number,interior_page,batch,subject,expected_filename,fact
1,9,B003,Bottlenose Dolphin,01_bottlenose_dolphin.png,Dolphins use echolocation to help find objects underwater.
2,11,B003,Humpback Whale,02_humpback_whale.png,Male humpback whales can sing long and complicated songs.
3,13,B003,Blue Whale,03_blue_whale.png,The blue whale is the largest animal known to have lived on Earth.
4,15,B003,Orca,04_orca.png,Orcas are the largest members of the dolphin family.
5,17,B003,Sperm Whale,05_sperm_whale.png,Sperm whales can dive very deep while searching for squid.
6,19,B003,Beluga Whale,06_beluga_whale.png,Beluga whales are sometimes called sea canaries because they make many sounds.
7,21,B003,Narwhal,07_narwhal.png,A narwhal's long tusk is actually an enlarged tooth.
8,23,B003,Harbor Seal,08_harbor_seal.png,A seal's whiskers can detect tiny movements in the water.
9,25,B003,Sea Lion,09_sea_lion.png,Sea lions can rotate their hind flippers forward to help walk on land.
10,27,B003,Walrus,10_walrus.png,Walruses use their sensitive whiskers to search for food on the seafloor.
11,29,B003,Manatee,11_manatee.png,Manatees are gentle plant-eaters that spend much of their day grazing.
12,31,B003,Dugong,12_dugong.png,Dugongs feed mainly on seagrass in warm coastal waters.
13,33,B003,Great White Shark,13_great_white_shark.png,Great white sharks have rows of replaceable teeth.
14,35,B003,Hammerhead Shark,14_hammerhead_shark.png,A hammerhead's wide head helps it sense and locate prey.
15,37,B003,Whale Shark,15_whale_shark.png,Whale sharks are the largest fish in the world and eat tiny plankton.
16,39,B003,Tiger Shark,16_tiger_shark.png,Tiger sharks have dark vertical stripes when they are young.
17,41,B003,Reef Shark,17_reef_shark.png,Reef sharks often patrol warm coral reefs for food.
18,43,B003,Manta Ray,18_manta_ray.png,Manta rays use wide fins that look like wings to glide through the water.
19,45,B003,Stingray,19_stingray.png,Stingrays often hide beneath sand on the seafloor.
20,47,B003,Green Sea Turtle,20_green_sea_turtle.png,Green sea turtles travel long distances through the ocean.
21,49,B003,Loggerhead Sea Turtle,21_loggerhead_sea_turtle.png,Loggerhead turtles have powerful jaws that can crush hard-shelled prey.
