number,interior_page,batch,subject,expected_filename,status,qa_status
1,9,B017,Tyrannosaurus rex,01_tyrannosaurus_rex.png,Queued,Not Reviewed
2,11,B017,Triceratops,02_triceratops.png,Queued,Not Reviewed
3,13,B017,Stegosaurus,03_stegosaurus.png,Queued,Not Reviewed
4,15,B017,Brachiosaurus,04_brachiosaurus.png,Queued,Not Reviewed
5,17,B017,Apatosaurus,05_apatosaurus.png,Queued,Not Reviewed
6,19,B017,Diplodocus,06_diplodocus.png,Queued,Not Reviewed
7,21,B017,Velociraptor,07_velociraptor.png,Queued,Not Reviewed
8,23,B017,Ankylosaurus,08_ankylosaurus.png,Queued,Not Reviewed
9,25,B017,Spinosaurus,09_spinosaurus.png,Queued,Not Reviewed
10,27,B017,Allosaurus,10_allosaurus.png,Queued,Not Reviewed
11,29,B017,Carnotaurus,11_carnotaurus.png,Queued,Not Reviewed
12,31,B017,Dilophosaurus,12_dilophosaurus.png,Queued,Not Reviewed
13,33,B017,Parasaurolophus,13_parasaurolophus.png,Queued,Not Reviewed
14,35,B017,Iguanodon,14_iguanodon.png,Queued,Not Reviewed
15,37,B017,Pachycephalosaurus,15_pachycephalosaurus.png,Queued,Not Reviewed
16,39,B017,Gallimimus,16_gallimimus.png,Queued,Not Reviewed
17,41,B017,Deinonychus,17_deinonychus.png,Queued,Not Reviewed
18,43,B017,Oviraptor,18_oviraptor.png,Queued,Not Reviewed
19,45,B017,Therizinosaurus,19_therizinosaurus.png,Queued,Not Reviewed
20,47,B017,Compsognathus,20_compsognathus.png,Queued,Not Reviewed
21,49,B017,Giganotosaurus,21_giganotosaurus.png,Queued,Not Reviewed
22,51,B017,Albertosaurus,22_albertosaurus.png,Queued,Not Reviewed
23,53,B017,Ceratosaurus,23_ceratosaurus.png,Queued,Not Reviewed
24,55,B017,Corythosaurus,24_corythosaurus.png,Queued,Not Reviewed
25,57,B017,Maiasaura,25_maiasaura.png,Queued,Not Reviewed
26,59,B017,Edmontosaurus,26_edmontosaurus.png,Queued,Not Reviewed
27,61,B017,Kentrosaurus,27_kentrosaurus.png,Queued,Not Reviewed
28,63,B017,Styracosaurus,28_styracosaurus.png,Queued,Not Reviewed
29,65,B017,Protoceratops,29_protoceratops.png,Queued,Not Reviewed
30,67,B017,Euoplocephalus,30_euoplocephalus.png,Queued,Not Reviewed
31,69,B018,Argentinosaurus,31_argentinosaurus.png,Queued,Not Reviewed
32,71,B018,Saltasaurus,32_saltasaurus.png,Queued,Not Reviewed
33,73,B018,Amargasaurus,33_amargasaurus.png,Queued,Not Reviewed
34,75,B018,Plateosaurus,34_plateosaurus.png,Queued,Not Reviewed
35,77,B018,Coelophysis,35_coelophysis.png,Queued,Not Reviewed
36,79,B018,Herrerasaurus,36_herrerasaurus.png,Queued,Not Reviewed
37,81,B018,Archaeopteryx,37_archaeopteryx.png,Queued,Not Reviewed
38,83,B018,Microraptor,38_microraptor.png,Queued,Not Reviewed
39,85,B018,Pteranodon,39_pteranodon.png,Queued,Not Reviewed
40,87,B018,Quetzalcoatlus,40_quetzalcoatlus.png,Queued,Not Reviewed
41,89,B018,Dimorphodon,41_dimorphodon.png,Queued,Not Reviewed
42,91,B018,Mosasaurus,42_mosasaurus.png,Queued,Not Reviewed
43,93,B018,Plesiosaurus,43_plesiosaurus.png,Queued,Not Reviewed
44,95,B018,Ichthyosaurus,44_ichthyosaurus.png,Queued,Not Reviewed
45,97,B018,Liopleurodon,45_liopleurodon.png,Queued,Not Reviewed
46,99,B018,Dunkleosteus,46_dunkleosteus.png,Queued,Not Reviewed
47,101,B018,Megalodon,47_megalodon.png,Queued,Not Reviewed
48,103,B018,Woolly Mammoth,48_woolly_mammoth.png,Queued,Not Reviewed
49,105,B018,Smilodon,49_smilodon.png,Queued,Not Reviewed
50,107,B018,Megatherium,50_megatherium.png,Queued,Not Reviewed
51,109,B018,Glyptodon,51_glyptodon.png,Queued,Not Reviewed
52,111,B018,Dire Wolf,52_dire_wolf.png,Queued,Not Reviewed
53,113,B018,Dodo,53_dodo.png,Queued,Not Reviewed
54,115,B018,Titanoboa,54_titanoboa.png,Queued,Not Reviewed
55,117,B018,Sarcosuchus,55_sarcosuchus.png,Queued,Not Reviewed
56,119,B018,Dimetrodon,56_dimetrodon.png,Queued,Not Reviewed
57,121,B018,Edaphosaurus,57_edaphosaurus.png,Queued,Not Reviewed
58,123,B018,Megaloceros,58_megaloceros.png,Queued,Not Reviewed
59,125,B018,Woolly Rhinoceros,59_woolly_rhinoceros.png,Queued,Not Reviewed
60,127,B018,Terror Bird,60_terror_bird.png,Queued,Not Reviewed
