number,interior_page,batch,subject,expected_filename,status,qa_status
1,9,B053,Toco Toucan,01_toco_toucan.png,Queued,Not Reviewed
2,11,B053,Keel-Billed Toucan,02_keel_billed_toucan.png,Queued,Not Reviewed
3,13,B053,Channel-Billed Toucan,03_channel_billed_toucan.png,Queued,Not Reviewed
4,15,B053,Scarlet Macaw,04_scarlet_macaw.png,Queued,Not Reviewed
5,17,B053,Blue-and-Yellow Macaw,05_blue_and_yellow_macaw.png,Queued,Not Reviewed
6,19,B053,Green-Winged Macaw,06_green_winged_macaw.png,Queued,Not Reviewed
7,21,B053,Hyacinth Macaw,07_hyacinth_macaw.png,Queued,Not Reviewed
8,23,B053,Military Macaw,08_military_macaw.png,Queued,Not Reviewed
9,25,B053,Great Green Macaw,09_great_green_macaw.png,Queued,Not Reviewed
10,27,B053,African Grey Parrot,10_african_grey_parrot.png,Queued,Not Reviewed
11,29,B053,Yellow-Headed Amazon,11_yellow_headed_amazon.png,Queued,Not Reviewed
12,31,B053,Eclectus Parrot,12_eclectus_parrot.png,Queued,Not Reviewed
13,33,B053,Sun Conure,13_sun_conure.png,Queued,Not Reviewed
14,35,B053,Green-Cheeked Conure,14_green_cheeked_conure.png,Queued,Not Reviewed
15,37,B053,Rainbow Lorikeet,15_rainbow_lorikeet.png,Queued,Not Reviewed
16,39,B053,Red Lory,16_red_lory.png,Queued,Not Reviewed
17,41,B053,Palm Cockatoo,17_palm_cockatoo.png,Queued,Not Reviewed
18,43,B053,Sulphur-Crested Cockatoo,18_sulphur_crested_cockatoo.png,Queued,Not Reviewed
19,45,B053,Pesquet's Parrot,19_pesquets_parrot.png,Queued,Not Reviewed
20,47,B053,Great Hornbill,20_great_hornbill.png,Queued,Not Reviewed
21,49,B053,Rhinoceros Hornbill,21_rhinoceros_hornbill.png,Queued,Not Reviewed
22,51,B053,Helmeted Hornbill,22_helmeted_hornbill.png,Queued,Not Reviewed
23,53,B053,Wreathed Hornbill,23_wreathed_hornbill.png,Queued,Not Reviewed
24,55,B053,Southern Ground Hornbill,24_southern_ground_hornbill.png,Queued,Not Reviewed
25,57,B053,Resplendent Quetzal,25_resplendent_quetzal.png,Queued,Not Reviewed
26,59,B053,Golden-Headed Quetzal,26_golden_headed_quetzal.png,Queued,Not Reviewed
27,61,B053,Andean Cock-of-the-Rock,27_andean_cock_of_the_rock.png,Queued,Not Reviewed
28,63,B053,Guianan Cock-of-the-Rock,28_guianan_cock_of_the_rock.png,Queued,Not Reviewed
29,65,B053,King Bird-of-Paradise,29_king_bird_of_paradise.png,Queued,Not Reviewed
30,67,B053,Raggiana Bird-of-Paradise,30_raggiana_bird_of_paradise.png,Queued,Not Reviewed
31,69,B054,Wilson's Bird-of-Paradise,31_wilsons_bird_of_paradise.png,Queued,Not Reviewed
32,71,B054,Blue Bird-of-Paradise,32_blue_bird_of_paradise.png,Queued,Not Reviewed
33,73,B054,Victoria's Riflebird,33_victorias_riflebird.png,Queued,Not Reviewed
34,75,B054,Bowerbird,34_bowerbird.png,Queued,Not Reviewed
35,77,B054,Harpy Eagle,35_harpy_eagle.png,Queued,Not Reviewed
36,79,B054,Crested Eagle,36_crested_eagle.png,Queued,Not Reviewed
37,81,B054,Ornate Hawk-Eagle,37_ornate_hawk_eagle.png,Queued,Not Reviewed
38,83,B054,Black-and-White Hawk-Eagle,38_black_and_white_hawk_eagle.png,Queued,Not Reviewed
39,85,B054,Great Potoo,39_great_potoo.png,Queued,Not Reviewed
40,87,B054,Oilbird,40_oilbird.png,Queued,Not Reviewed
41,89,B054,Hoatzin,41_hoatzin.png,Queued,Not Reviewed
42,91,B054,Sunbittern,42_sunbittern.png,Queued,Not Reviewed
43,93,B054,Amazon Kingfisher,43_amazon_kingfisher.png,Queued,Not Reviewed
44,95,B054,Green Kingfisher,44_green_kingfisher.png,Queued,Not Reviewed
45,97,B054,Rufous-Tailed Jacamar,45_rufous_tailed_jacamar.png,Queued,Not Reviewed
46,99,B054,Blue-Crowned Motmot,46_blue_crowned_motmot.png,Queued,Not Reviewed
47,101,B054,Turquoise-Browed Motmot,47_turquoise_browed_motmot.png,Queued,Not Reviewed
48,103,B054,Collared Aracari,48_collared_aracari.png,Queued,Not Reviewed
49,105,B054,Curl-Crested Aracari,49_curl_crested_aracari.png,Queued,Not Reviewed
50,107,B054,Red-Legged Honeycreeper,50_red_legged_honeycreeper.png,Queued,Not Reviewed
51,109,B054,Green Honeycreeper,51_green_honeycreeper.png,Queued,Not Reviewed
52,111,B054,Purple Honeycreeper,52_purple_honeycreeper.png,Queued,Not Reviewed
53,113,B054,Scarlet Tanager,53_scarlet_tanager.png,Queued,Not Reviewed
54,115,B054,Paradise Tanager,54_paradise_tanager.png,Queued,Not Reviewed
55,117,B054,Blue-Gray Tanager,55_blue_gray_tanager.png,Queued,Not Reviewed
56,119,B054,Violet-Crowned Woodnymph,56_violet_crowned_woodnymph.png,Queued,Not Reviewed
57,121,B054,Long-Tailed Sylph,57_long_tailed_sylph.png,Queued,Not Reviewed
58,123,B054,Sword-Billed Hummingbird,58_sword_billed_hummingbird.png,Queued,Not Reviewed
59,125,B054,Booted Racket-Tail,59_booted_racket_tail.png,Queued,Not Reviewed
60,127,B054,Fiery-Throated Hummingbird,60_fiery_throated_hummingbird.png,Queued,Not Reviewed
